generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,71578.000000,28422.000000,21,63236.912039,4998983.799597,951.571060,0.185617,4,4,1,0.001717
1,70648.000000,29352.000000,20,51895.286823,57401458.529118,810.183120,0.214989,4,4,1,0.002604
2,57312.000000,42688.000000,9,40638.315741,178542891.341411,879.082100,0.312862,4,4,1,0.002626
3,63866.000000,36134.000000,17,51149.313648,85466755.539922,1001.274487,0.187443,4,4,1,0.002574
4,61681.000000,38319.000000,13,50984.504604,116065437.704093,831.058317,0.073787,4,4,1,0.001804
5,77310.000000,22690.000000,28,60768.434945,3321881.903366,864.448117,0.205464,2,3,1,0.002415
6,71385.000000,28615.000000,25,60129.530810,26790547.738486,925.291824,0.224220,2,3,1,0.001697
7,66849.000000,33151.000000,19,50620.593082,45257148.467006,823.225623,0.263437,2,3,1,0.002823
8,99973.000000,27.000000,49,59744.981892,2952614.990282,534.783541,0.231469,3,3,1,0.002436
9,61935.000000,38065.000000,15,51282.456255,119706050.064636,1006.651489,0.092875,3,3,1,0.001496
10,57309.000000,42691.000000,11,56410.590603,36134315.328453,1283.084162,0.130002,3,3,1,0.001913
11,62643.000000,37357.000000,20,55026.681603,14069382.932516,778.530553,0.209350,3,3,1,0.002030
12,68946.000000,31054.000000,20,55425.714433,57867648.274034,737.647867,0.197212,3,3,1,0.002307
13,69130.000000,30870.000000,20,53176.786162,21250571.489448,738.710444,0.378049,3,3,1,0.002127
14,72417.000000,27583.000000,20,63058.567656,10291108.201050,905.146143,0.213129,3,3,1,0.002451
15,56395.000000,43605.000000,8,49996.938942,55285004.203379,1164.094700,0.127658,3,3,1,0.002290
16,64397.000000,35603.000000,17,56154.770536,94648217.056575,889.578881,0.167568,3,3,1,0.001844
17,64754.000000,35246.000000,16,54770.080326,35527240.896929,967.695525,0.175756,3,3,1,0.002080
18,64685.000000,35315.000000,16,52534.817105,55179931.145757,967.389784,0.179526,3,3,1,0.001578
19,70206.000000,29794.000000,21,56133.554220,43940448.846011,768.271992,0.233330,3,3,1,0.003300
20,67154.000000,32846.000000,19,53291.652110,48049112.318549,808.656031,0.155221,3,3,1,0.001975
21,63842.000000,36158.000000,16,53505.881379,79280648.300656,992.916422,0.191587,3,3,1,0.002090
22,66687.000000,33313.000000,18,57817.216450,22117009.289023,993.428885,0.255842,3,3,4,0.002313
23,56090.000000,43910.000000,6,46708.409859,164085955.944923,998.941573,0.175138,3,3,1,0.002174
24,62847.000000,37153.000000,11,45870.204662,180384209.574602,702.531632,0.190455,3,3,1,0.001656
25,70670.000000,29330.000000,21,51012.864824,120615032.402781,799.055736,0.207213,3,3,4,0.001757
26,59785.000000,40215.000000,13,54818.281306,23681951.256885,1303.225300,0.251147,3,3,1,0.004188
27,73179.000000,26821.000000,27,57643.528094,21507366.809354,636.777670,0.262868,2,4,4,0.002020
28,63570.000000,36430.000000,18,55338.681125,97018326.633485,858.377398,0.205770,2,4,1,0.001592
29,73969.000000,26031.000000,25,55667.307513,30658353.776287,629.476710,0.268899,2,4,1,0.002579
30,61047.000000,38953.000000,14,48093.944659,56537849.578546,959.803701,0.206791,2,4,1,0.002937
31,60336.000000,39664.000000,17,47441.292531,103088057.387528,845.443903,0.141671,2,4,1,0.002402
32,64105.000000,35895.000000,18,53920.680351,49537163.136445,778.910210,0.336468,2,4,1,0.002487
33,74181.000000,25819.000000,23,63143.904267,28256243.008099,878.731417,0.192530,2,4,1,0.001526
34,66085.000000,33915.000000,23,56386.249408,48855657.382401,725.120492,0.231999,2,4,1,0.001826
35,66654.000000,33346.000000,16,53220.096125,41690907.737980,741.172670,0.208845,2,4,1,0.003269
36,55552.000000,44448.000000,16,52760.175156,24285823.549221,1373.152859,0.199644,2,4,1,0.003372
37,59918.000000,40082.000000,12,53775.594100,84879328.809047,1271.897269,0.126209,2,4,1,0.002509
38,76866.000000,23134.000000,28,59829.504734,7824939.332082,660.629441,0.306497,2,4,1,0.001318
39,62161.000000,37839.000000,13,44697.513905,119628181.698477,788.423664,0.189485,2,4,1,0.002447
40,59843.000000,40157.000000,11,52260.186421,92508892.206459,1039.225216,0.096239,2,4,1,0.002674
41,70343.000000,29657.000000,25,52738.310105,46733039.294976,907.575275,0.355503,4,4,1,0.002036
42,63361.000000,36639.000000,13,56101.141496,22861994.370006,1024.029531,0.098889,4,4,1,0.003924
43,66686.000000,33314.000000,20,59194.449008,8865592.969896,903.254914,0.276231,4,4,1,0.001959
44,69316.000000,30684.000000,17,58989.431996,10461942.486419,1029.151536,0.250672,4,4,1,0.002360
45,60552.000000,39448.000000,15,55423.243862,83644329.758631,1002.959964,0.198092,4,4,1,0.002917
46,67134.000000,32866.000000,21,51864.818403,29872422.438882,892.576328,0.245344,4,4,1,0.001609
47,62404.000000,37596.000000,15,49974.802585,122299739.475957,829.955001,0.195373,4,4,1,0.002908
48,68569.000000,31431.000000,21,53662.074323,25460344.442852,847.421555,0.282253,4,4,1,0.001643
49,58496.000000,41504.000000,16,55556.338147,33903754.335810,1097.548302,0.175124,4,4,1,0.004136
50,84962.000000,15038.000000,32,65505.250762,1417140.915065,757.336227,0.293458,4,4,1,0.001912
51,56201.000000,43799.000000,10,48366.057895,78287973.942945,1027.696121,0.241492,4,4,1,0.002262
52,67005.000000,32995.000000,19,56440.384909,22255467.162616,846.757325,0.114567,4,4,1,0.002652
53,59080.000000,40920.000000,14,46870.616582,71773427.299096,1032.731517,0.126801,4,4,1,0.003199
54,66092.000000,33908.000000,22,59538.563404,19880599.717780,980.068236,0.175763,4,4,1,0.002540
55,72354.000000,27646.000000,27,64635.570143,1503615.172319,1067.470838,0.106755,4,4,1,0.002494
56,67471.000000,32529.000000,16,53712.721555,11884076.631047,828.671860,0.214511,4,4,2,0.002931
57,68098.000000,31902.000000,22,61393.159535,25605133.146472,960.704557,0.240681,4,4,2,0.001583
58,68497.000000,31503.000000,21,55373.920808,39519819.573142,902.687298,0.225911,4,4,1,0.001743
59,65014.000000,34986.000000,19,57363.163247,27886208.395752,962.439960,0.159266,4,4,1,0.003013
60,63607.000000,36393.000000,19,62914.564236,3625894.602523,1106.140227,0.176555,4,4,1,0.001389
61,63849.000000,36151.000000,15,59968.162163,14600729.757860,915.333295,0.257527,4,4,1,0.002295
62,61147.000000,38853.000000,19,58125.338091,38852605.006656,1053.851654,0.230571,4,4,1,0.002299
63,62867.000000,37133.000000,18,54542.397277,78087648.305284,925.019958,0.151961,4,4,2,0.002035
64,65862.000000,34138.000000,17,54612.067214,22893366.968857,834.700434,0.125326,4,4,1,0.002152
65,69799.000000,30201.000000,21,55973.340185,24996387.949711,835.389343,0.212518,4,4,1,0.002802
66,59525.000000,40475.000000,12,57934.771731,12608508.128193,1379.137053,0.092707,4,4,1,0.001923
67,67849.000000,32151.000000,18,57281.638518,36559905.989113,832.720513,0.246867,4,4,1,0.002570
68,64017.000000,35983.000000,19,61780.054044,3760251.320566,1263.564624,0.084387,3,5,1,0.002860
69,64353.000000,35647.000000,18,55757.168193,58353065.974996,905.506383,0.262876,3,5,1,0.002370
70,68211.000000,31789.000000,18,52897.906978,115297636.644750,672.410130,0.209379,1,4,1,0.001783
71,73413.000000,26587.000000,23,50036.139228,109689714.698392,641.287251,0.212319,1,4,1,0.001790
72,66059.000000,33941.000000,18,64886.687736,24334646.419408,923.669807,0.117981,1,4,1,0.001986
73,77210.000000,22790.000000,25,60327.507553,11516227.076136,833.809928,0.226965,1,4,1,0.001396
74,66749.000000,33251.000000,19,57124.548788,66530172.966777,835.960313,0.185355,1,4,1,0.001109
75,70816.000000,29184.000000,19,57942.266161,10884017.852032,862.806166,0.144784,1,4,1,0.001932
76,71453.000000,28547.000000,23,51277.811639,75470572.279244,615.205121,0.137326,1,4,1,0.002381
77,64173.000000,35827.000000,21,51891.949960,58239358.734969,750.901029,0.215501,1,4,1,0.002071
78,53924.000000,46076.000000,10,41898.215012,64677628.542467,1263.010384,0.132578,1,4,1,0.002767
79,64594.000000,35406.000000,18,54345.169189,60102340.133235,784.478789,0.294104,1,4,2,0.003159
80,60505.000000,39495.000000,11,57192.309762,23557764.482149,1047.951851,0.200308,1,4,1,0.001725
81,64701.000000,35299.000000,22,55327.617904,33530575.119203,938.393063,0.182790,1,4,1,0.001259
82,71052.000000,28948.000000,20,55297.464409,18857290.534194,669.993027,0.190767,1,4,1,0.002413
83,69885.000000,30115.000000,22,57448.230900,7188525.238274,972.073050,0.344010,1,4,1,0.002352
84,98060.000000,1940.000000,48,59588.199068,2437502.347569,614.621473,0.156287,1,4,2,0.001118
85,65130.000000,34870.000000,15,44141.326329,162960957.795132,669.586504,0.197632,0,4,1,0.002750
86,65332.000000,34668.000000,17,57950.547298,31353211.879488,820.820321,0.136385,0,4,1,0.002335
87,62438.000000,37562.000000,14,60718.314826,9275734.097631,1056.084222,0.183654,0,4,1,0.003696
88,68552.000000,31448.000000,21,54233.088878,26767165.757787,779.834480,0.271455,0,4,1,0.001606
89,65367.000000,34633.000000,18,53816.850455,39217172.981439,805.620406,0.157860,0,4,3,0.002047
90,63352.000000,36648.000000,18,50888.790538,76172359.510964,666.102047,0.286672,0,4,1,0.000971
91,59867.000000,40133.000000,13,54970.905245,7215234.196974,987.936536,0.156079,0,4,1,0.003467
92,66249.000000,33751.000000,18,46030.509595,170235827.414910,633.410629,0.214921,0,4,1,0.002007
93,66293.000000,33707.000000,19,49597.684143,42997653.223171,572.854268,0.284939,0,4,1,0.001502
94,68455.000000,31545.000000,17,52552.807637,20600058.980639,943.693348,0.197075,0,4,1,0.001728
95,75277.000000,24723.000000,29,206594.195495,1975954674.471747,2345.716770,0.166638,0,4,1,0.012777
96,80493.000000,19507.000000,26,205826.438483,1981739231.943870,2657.560711,0.123775,0,4,1,0.016392
97,80896.000000,19104.000000,30,220794.173148,2246040273.122847,2293.864649,0.174975,0,4,1,0.017826
98,85445.000000,14555.000000,31,223240.925218,2289132469.100710,2251.567922,0.143542,0,4,1,0.020928
99,79867.000000,20133.000000,33,225322.887777,1824206102.583834,2261.197395,0.162116,0,4,1,0.013653
100,86258.000000,13742.000000,35,225823.382479,2415294973.954634,2373.907122,0.146755,0,4,1,0.014053
101,82179.000000,17821.000000,30,220969.526621,1855386054.088669,2624.575354,0.161600,0,4,1,0.026859
102,81683.000000,18317.000000,34,231401.178251,1819876697.671886,2547.093753,0.126161,0,4,1,0.015594
103,72829.000000,27171.000000,28,224383.295881,2414268179.171165,3215.101880,0.089709,0,4,1,0.018422
104,79537.000000,20463.000000,32,218389.196461,2209183751.642537,2377.831119,0.166243,0,4,1,0.025909
105,69804.000000,30196.000000,22,227923.717568,2161946543.127588,3013.337674,0.091258,0,4,1,0.021844
106,85227.000000,14773.000000,35,219272.789686,2113881627.537076,2548.106749,0.130652,0,4,2,0.011260
107,84871.000000,15129.000000,34,227962.588463,2076967411.940305,2505.949037,0.128458,0,4,1,0.013696
108,80939.000000,19061.000000,31,224950.468702,2000917062.659132,2735.291895,0.125483,0,4,1,0.012851
109,78803.000000,21197.000000,30,220731.935607,2306027025.858248,2380.400355,0.135679,0,4,1,0.011210
110,78357.000000,21643.000000,30,229587.940965,1982119605.830678,2616.358852,0.120802,0,4,1,0.008063
111,80726.000000,19274.000000,31,221984.209041,2521122797.443048,2459.504134,0.124456,0,4,1,0.012329
112,84957.000000,15043.000000,39,220795.289562,2999040358.573185,2334.805491,0.146391,0,4,1,0.020444
113,78816.000000,21184.000000,30,232288.266278,1920767218.595622,2815.205325,0.147420,0,4,1,0.007806
114,85522.000000,14478.000000,34,225046.658145,2537048653.850614,2743.181605,0.136440,0,4,1,0.014904
115,81083.000000,18917.000000,30,227973.690527,2152321536.961764,2399.408999,0.135672,0,4,1,0.013803
116,79276.000000,20724.000000,33,219908.997688,1883186530.767245,2509.336934,0.130147,0,4,1,0.013920
117,75776.000000,24224.000000,23,224595.691321,1840304727.258544,2874.808536,0.096208,0,4,1,0.014954
118,80792.000000,19208.000000,34,229114.875060,2037173392.167249,2607.744876,0.136383,0,4,1,0.012995
119,81991.000000,18009.000000,33,230178.872158,2291809243.091703,2483.835936,0.102098,0,4,1,0.015686
120,86420.000000,13580.000000,38,228080.788641,2289113189.913859,2428.341382,0.142052,0,4,1,0.011400
121,79530.000000,20470.000000,32,222709.200088,2087014034.899619,2486.923489,0.180537,0,4,1,0.011958
122,85620.000000,14380.000000,33,227220.645881,2384189282.393617,2577.606112,0.145685,0,4,1,0.015994
123,79854.000000,20146.000000,31,223656.428490,2405620679.561926,2770.911455,0.170236,0,4,1,0.015334
124,78205.000000,21795.000000,27,227462.389071,1899576981.153343,2630.178341,0.160685,0,4,1,0.012674
125,80299.000000,19701.000000,30,222384.073780,2327693659.648189,2410.509813,0.130634,0,4,1,0.012814
126,93121.000000,6879.000000,46,229539.450105,2180902674.067411,2179.785814,0.166016,0,4,1,0.006827
