generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,59150.000000,40850.000000,15,52679.558799,64271146.545880,1011.549814,0.227343,4,5,1,0.004814
1,75034.000000,24966.000000,29,234402.964534,1850798891.667335,3220.748832,0.138323,4,5,1,0.010796
2,83790.000000,16210.000000,35,228091.520507,2506170401.512163,2494.715234,0.162149,4,5,1,0.014636
3,89772.000000,10228.000000,39,231372.501747,2264892217.460607,2411.824337,0.178679,4,5,1,0.008401
4,80526.000000,19474.000000,31,232235.418350,2241309331.499407,2599.065729,0.174094,4,5,1,0.013133
5,87771.000000,12229.000000,35,233719.733384,1830992516.453434,2112.704426,0.195816,4,5,1,0.022343
6,87633.000000,12367.000000,36,200060.388560,1498851716.446697,2077.469148,0.174876,4,5,1,0.012258
7,77285.000000,22715.000000,32,212680.814999,1582546674.373634,2395.219833,0.164969,4,5,1,0.018892
8,87043.000000,12957.000000,38,218592.794197,1698789371.826404,2257.574221,0.170479,4,5,1,0.016433
9,90440.000000,9560.000000,39,215884.276623,1804294246.168482,1730.629516,0.162155,4,5,1,0.017813
10,82607.000000,17393.000000,29,226746.382205,2001886487.296052,2330.270303,0.159803,4,5,1,0.013924
11,80979.000000,19021.000000,31,212272.611712,1980734483.256641,2111.569867,0.128059,4,5,1,0.015812
12,81271.000000,18729.000000,32,213948.096778,1801651854.756122,2338.107635,0.180466,3,5,1,0.013631
13,84107.000000,15893.000000,37,223952.970271,1712700388.464144,2422.287752,0.122639,3,5,1,0.017441
14,83603.000000,16397.000000,34,214778.673124,1869967762.730633,2457.243061,0.143905,3,5,1,0.014002
15,75712.000000,24288.000000,28,213088.139304,1787615064.830881,2528.812253,0.146899,3,5,1,0.020960
16,80561.000000,19439.000000,32,209962.895232,1517381529.131807,2425.855590,0.154023,3,5,1,0.021179
17,82300.000000,17700.000000,34,219226.324295,1886345670.582459,2358.191689,0.156576,3,5,1,0.018223
18,85106.000000,14894.000000,35,222604.328153,1967666501.067393,2219.278661,0.136760,3,5,1,0.017523
19,87531.000000,12469.000000,37,205743.332078,1765771280.534952,1954.147568,0.175236,3,5,1,0.012070
20,84713.000000,15287.000000,36,214135.860137,1927082098.242058,2434.761328,0.162477,3,5,1,0.017939
21,85885.000000,14115.000000,34,219228.992679,1871182587.831967,2207.247330,0.150626,3,5,1,0.040502
22,77842.000000,22158.000000,29,200904.466596,1760211276.037864,2108.515146,0.156160,3,5,1,0.012927
23,81517.000000,18483.000000,32,221323.814905,1866177016.660803,2632.193978,0.112206,3,5,1,0.024820
24,81347.000000,18653.000000,33,212603.269375,1951121629.807192,2316.982079,0.174683,3,5,1,0.018321
25,84772.000000,15228.000000,35,222234.604479,2394674745.494551,2083.416806,0.159989,3,5,1,0.015689
26,77762.000000,22238.000000,29,201789.342201,1891387550.482754,2253.329467,0.144888,3,5,1,0.016562
27,77091.000000,22909.000000,29,216478.983036,1477478061.867726,2583.291813,0.155904,3,5,1,0.017085
28,86973.000000,13027.000000,37,197162.755173,1809153635.493935,1888.978865,0.172930,3,5,1,0.018198
29,79810.000000,20190.000000,33,202231.033089,1816917845.685218,2382.724582,0.173688,3,5,1,0.019775
30,91556.000000,8444.000000,41,223927.488308,1874345234.743053,2169.873786,0.160650,3,5,1,0.034405
31,72743.000000,27257.000000,28,202345.133378,1830443728.873228,2510.150498,0.181955,3,5,1,0.013534
32,77187.000000,22813.000000,30,213553.383499,1583710406.263084,2407.291981,0.172538,3,5,1,0.016012
33,84450.000000,15550.000000,37,210819.481866,1727270374.617498,2150.404759,0.154566,3,5,1,0.013111
34,79244.000000,20756.000000,34,221377.962034,1947737894.090109,2717.028366,0.146264,3,5,1,0.016016
35,83425.000000,16575.000000,32,205103.953563,1742657174.061730,2243.888625,0.181736,3,5,2,0.022870
36,81548.000000,18452.000000,35,214631.483670,1971331497.311823,2521.889058,0.144523,2,6,1,0.019834
37,83506.000000,16494.000000,37,217926.639354,1921033290.890208,2212.697242,0.174696,2,6,1,0.010752
38,78405.000000,21595.000000,32,179458.154375,1240068763.665352,2042.520556,0.177278,2,6,1,0.013047
39,78653.000000,21347.000000,30,168204.630748,1050396936.305033,1906.909174,0.235435,1,7,3,0.011529
40,83380.000000,16620.000000,33,141252.547609,669258889.083273,1257.302534,0.299064,1,5,1,0.008937
41,84641.000000,15359.000000,36,169478.948872,1853034784.560650,1672.064505,0.222478,1,5,2,0.010216
42,80907.000000,19093.000000,31,136602.907176,708766886.819154,1744.053968,0.249771,1,5,1,0.021939
43,85275.000000,14725.000000,38,170835.096253,1675088806.072508,1717.377371,0.194542,1,5,1,0.012067
44,79943.000000,20057.000000,26,146219.378738,970047993.668297,1852.807890,0.255507,1,5,1,0.010822
45,82947.000000,17053.000000,33,160884.636378,810675924.241120,1780.825957,0.233199,1,5,2,0.009569
46,84697.000000,15303.000000,34,156222.360901,1173702284.191868,1441.283587,0.226338,1,5,2,0.013808
47,77281.000000,22719.000000,29,123929.573680,392046889.775286,1574.004680,0.277858,1,5,1,0.014823
48,80197.000000,19803.000000,31,146628.155743,546527726.506831,1629.283804,0.283064,1,5,1,0.017571
49,83673.000000,16327.000000,31,165775.415409,1450916250.097880,1754.077807,0.218764,1,5,1,0.014531
50,84660.000000,15340.000000,35,152581.052522,1356988022.938163,1448.882815,0.240154,1,5,2,0.012357
51,81259.000000,18741.000000,31,168042.588601,1013670398.819637,2038.144434,0.194459,1,5,1,0.009464
52,86677.000000,13323.000000,34,165668.405808,1231086902.602251,1649.520986,0.220475,1,5,3,0.012519
53,75895.000000,24105.000000,26,135517.669129,756616892.473880,1531.629787,0.234008,1,5,1,0.013834
54,88454.000000,11546.000000,38,186387.335587,2042579566.263332,1799.866595,0.208518,1,5,1,0.006068
55,73375.000000,26625.000000,27,144017.300219,1684419576.517149,2035.124985,0.212044,1,5,1,0.015645
56,81097.000000,18903.000000,31,163077.783938,1745822494.384437,1653.851125,0.188458,1,5,2,0.010633
57,83186.000000,16814.000000,36,173149.180330,1814541691.958426,1728.688174,0.205191,1,5,2,0.005142
58,79909.000000,20091.000000,26,137705.153967,645303932.214049,1635.697292,0.241689,1,5,1,0.019845
59,84939.000000,15061.000000,36,174233.974361,1187156612.874002,1449.598487,0.218577,1,5,1,0.014004
60,74059.000000,25941.000000,26,179796.553324,1382474824.048969,2298.205081,0.181321,1,5,1,0.017306
61,78528.000000,21472.000000,27,186807.157410,1786406229.470701,2166.774961,0.206835,1,5,1,0.017744
62,71978.000000,28022.000000,22,158111.218293,1694931196.908681,1634.724476,0.187621,1,5,1,0.013933
63,84253.000000,15747.000000,35,145168.370027,719426798.081710,1537.857639,0.250525,1,5,1,0.015683
64,72353.000000,27647.000000,26,169710.461141,1015019695.727571,2252.164081,0.180796,1,5,1,0.014781
65,80443.000000,19557.000000,32,165563.343054,763581276.137893,1721.131254,0.215186,1,5,1,0.021683
66,68291.000000,31709.000000,19,125363.224592,370366030.615299,1839.465214,0.209739,1,5,1,0.014162
67,84658.000000,15342.000000,34,170907.830947,1311974879.931721,1633.841985,0.238316,1,5,1,0.020871
68,77133.000000,22867.000000,27,147590.225115,1099091848.594802,1923.543761,0.190337,1,5,1,0.012236
69,79381.000000,20619.000000,29,165824.818049,1107979344.746697,1750.739677,0.213705,1,5,1,0.019614
70,83666.000000,16334.000000,35,171963.111628,1264578477.492820,2064.487152,0.268614,1,5,1,0.007585
71,79273.000000,20727.000000,28,171610.727088,1071979442.012688,1846.105515,0.249589,1,5,1,0.015026
72,81307.000000,18693.000000,31,165598.382005,1014482667.586475,1808.560550,0.186159,1,5,1,0.013835
73,75956.000000,24044.000000,27,159278.368898,1016279948.744345,1857.676602,0.199239,1,5,1,0.011543
74,89705.000000,10295.000000,40,170354.173700,1436005864.236275,1606.638200,0.184163,1,5,1,0.013075
75,73286.000000,26714.000000,28,168895.117288,1000829907.427284,1974.171873,0.221648,1,5,2,0.010741
76,83394.000000,16606.000000,33,173744.078664,1415474435.832914,1642.946450,0.219500,1,5,1,0.016244
77,88666.000000,11334.000000,38,187965.817203,2237517418.787475,1811.960900,0.196054,1,5,1,0.007520
78,75280.000000,24720.000000,27,158688.032939,704602318.005441,1887.001344,0.206783,1,5,2,0.015838
79,77971.000000,22029.000000,29,156964.546882,959838803.839510,1914.394089,0.173036,1,5,1,0.009585
80,76570.000000,23430.000000,26,161286.288911,1083579361.803615,2055.146826,0.193292,1,5,1,0.017874
81,80368.000000,19632.000000,29,158471.858882,1316612689.126514,1718.969520,0.228045,1,5,2,0.011056
