generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,61606.000000,38394.000000,15,48370.331657,103942782.831528,773.237989,0.174691,4,4,1,0.003107
1,81798.000000,18202.000000,32,232475.018435,2042037206.115041,2413.464282,0.231115,4,4,1,0.012520
2,76630.000000,23370.000000,26,231412.368816,2250173996.115586,2824.381111,0.228732,4,4,1,0.015995
3,76686.000000,23314.000000,32,231856.674947,2129991350.988609,2685.542191,0.197717,4,4,1,0.019788
4,82374.000000,17626.000000,31,233438.870868,1971770504.129228,2714.683456,0.180394,4,4,1,0.012843
5,87882.000000,12118.000000,36,231248.594548,1993723906.635803,2153.007535,0.270428,4,4,1,0.014498
6,100000.000000,1.000000,50,232011.365917,2285487771.005808,1817.359402,0.296340,4,4,0,0.000000
7,75174.000000,24826.000000,29,229774.099303,2199922612.175121,2697.731065,0.247467,4,4,1,0.010067
8,81151.000000,18849.000000,31,231972.083197,1894545237.982796,2407.754657,0.271608,4,4,1,0.008305
9,86630.000000,13370.000000,37,231532.941879,1785536094.492921,2236.612462,0.268982,4,4,2,0.010899
10,86492.000000,13508.000000,34,232335.620273,2034696514.245195,2285.185090,0.201218,4,4,1,0.016007
11,83145.000000,16855.000000,30,229892.223288,2304402673.688799,2529.929399,0.213226,4,4,2,0.011365
12,79659.000000,20341.000000,28,228554.592394,2305834003.139140,2654.825498,0.263667,4,4,1,0.016851
13,72459.000000,27541.000000,30,234559.037907,1751695219.297422,3294.328380,0.246306,4,4,1,0.013340
14,84640.000000,15360.000000,33,228552.261332,2651243531.383036,2430.082780,0.192002,4,4,1,0.018194
15,79974.000000,20026.000000,31,231647.093156,1722161421.225472,2713.512427,0.182933,4,4,1,0.024516
16,79790.000000,20210.000000,32,236208.816863,1667254021.090533,2774.040801,0.153332,4,4,1,0.011565
17,76617.000000,23383.000000,26,231246.615437,2107308504.147677,2844.579309,0.258582,4,4,1,0.012938
18,83455.000000,16545.000000,31,230580.800510,2177140762.011235,2729.602571,0.188591,3,3,1,0.012758
19,80610.000000,19390.000000,30,235492.826162,1737785959.799935,2879.040177,0.223276,3,3,1,0.011175
20,78649.000000,21351.000000,32,232595.683626,2014160121.053607,2508.501789,0.276775,3,3,1,0.011058
21,81956.000000,18044.000000,30,233049.206527,1969587191.853556,2591.219219,0.238854,3,3,1,0.012862
22,75937.000000,24063.000000,28,237700.355008,1541212631.139845,2696.439009,0.366417,5,4,1,0.017080
23,83007.000000,16993.000000,33,235386.018350,1860700875.021849,2384.358473,0.377369,5,4,1,0.015030
24,82541.000000,17459.000000,31,236992.611270,1704888635.977690,2382.999312,0.382162,5,4,1,0.020258
25,77297.000000,22703.000000,26,235593.941815,1700252480.363079,2375.028006,0.397649,5,4,1,0.016848
26,81703.000000,18297.000000,34,232739.991658,1613837275.759374,2679.370209,0.141422,5,4,1,0.022136
27,85138.000000,14862.000000,37,230612.836566,1572592214.952843,2227.456523,0.161055,5,4,1,0.017859
28,90283.000000,9717.000000,40,236883.793825,1495867473.423229,2414.750627,0.130119,5,4,1,0.020028
29,84603.000000,15397.000000,35,229748.322214,1692042174.245409,2356.828823,0.127557,5,4,1,0.013905
