generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,67057.000000,32943.000000,14,54359.517687,67699066.352672,989.656852,0.000000,1,7,1,0.003882
1,59022.000000,40978.000000,12,55412.596902,35535515.291377,1001.597870,0.000000,1,7,1,0.002350
2,65876.000000,34124.000000,18,50960.657722,54232440.342572,832.042438,0.000000,1,7,1,0.002638
3,48252.000000,51748.000000,4,37796.218877,214985950.589485,1183.797961,0.000000,1,7,1,0.014515
4,71791.000000,28209.000000,23,54882.559730,65759535.812052,729.854314,0.163553,1,7,1,0.002742
5,65403.000000,34597.000000,19,50908.111490,43752761.500604,825.961322,0.215990,1,7,2,0.003647
6,56976.000000,43024.000000,12,43271.744615,220229440.283245,657.638929,0.262531,1,7,1,0.005900
7,98240.000000,1760.000000,49,65942.003341,2022964.049933,618.477926,0.181462,2,6,1,0.004698
8,68601.000000,31399.000000,21,48788.879756,46328551.577644,873.893613,0.212521,2,6,1,0.004023
9,73553.000000,26447.000000,25,62204.832892,17270437.859760,938.761031,0.095692,2,6,1,0.003835
10,64737.000000,35263.000000,18,56887.532106,12893065.015824,813.346637,0.168055,2,6,1,0.004518
11,69498.000000,30502.000000,18,55991.714852,74027482.314118,891.543750,0.159961,2,6,1,0.003098
12,61990.000000,38010.000000,19,52284.528046,33110642.916610,803.756489,0.136754,2,6,1,0.004384
13,76696.000000,23304.000000,25,55733.248390,13346320.882380,634.665083,0.203349,2,6,1,0.005598
14,72891.000000,27109.000000,20,56192.331554,21359946.546782,853.371928,0.158834,2,6,1,0.005584
15,65111.000000,34889.000000,19,57152.106177,27916815.448480,771.602015,0.254523,2,6,1,0.002924
16,63554.000000,36446.000000,13,51692.166810,49343104.100865,1072.170782,0.203692,2,6,1,0.006204
17,58838.000000,41162.000000,12,53412.932360,75904331.058158,1045.721549,0.130299,2,6,1,0.003952
