generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,52953.000000,47047.000000,8,42348.026735,98714882.219448,1000.115073,0.000000,5,5,1,0.006472
1,51177.000000,48823.000000,7,47900.962294,177825138.056927,1233.491931,0.000000,5,5,1,0.012278
2,52254.000000,47746.000000,10,53838.163267,84770619.452010,1415.603941,0.000000,5,5,1,0.008711
3,67115.000000,32885.000000,19,54388.027609,43322800.455630,992.827731,0.000000,5,5,1,0.001985
4,55632.000000,44368.000000,11,52122.523494,98731364.231315,1089.040759,0.000000,5,5,1,0.007690
5,59627.000000,40373.000000,9,54763.639758,10382774.591281,1465.592095,0.000000,5,5,1,0.002058
6,60310.000000,39690.000000,12,61214.756303,474267.889443,1751.794009,0.000000,5,5,1,0.005073
7,54088.000000,45912.000000,5,50616.496191,124573176.947018,1261.701700,0.000000,5,5,1,0.004418
8,85403.000000,14597.000000,39,61061.429704,0.000000,563.991452,0.000000,5,5,1,0.000028
9,64896.000000,35104.000000,14,51555.778974,99276572.734302,848.343414,0.000000,5,5,1,0.004598
10,54163.000000,45837.000000,11,53338.511154,10204028.599538,1248.645216,0.000000,5,5,1,0.005457
11,88342.000000,11658.000000,42,60407.148964,0.000000,595.073034,0.000000,5,5,0,0.000012
12,68468.000000,31532.000000,22,57240.680643,62575892.806751,918.078823,0.000000,5,5,1,0.002759
13,51650.000000,48350.000000,10,50723.046139,36789247.249889,971.739193,0.000000,5,5,1,0.007527
14,54709.000000,45291.000000,7,52445.207177,86725705.766654,1636.597942,0.000000,5,5,1,0.010075
15,50446.000000,49554.000000,5,46557.864792,155715917.331622,1523.727863,0.000000,5,5,1,0.005394
16,57471.000000,42529.000000,8,48734.754336,76118558.294536,1326.091284,0.000000,5,5,1,0.007139
17,96208.000000,3792.000000,48,62097.610837,0.000000,623.767795,0.000000,5,5,2,0.000003
18,53606.000000,46394.000000,11,44484.678799,107974747.393110,1061.838510,0.000000,5,5,1,0.006203
19,62458.000000,37542.000000,18,51045.581357,43755221.489507,922.689494,0.109580,5,5,1,0.003333
20,65887.000000,34113.000000,21,50740.455053,77301238.545133,588.701826,0.373592,5,5,1,0.003488
21,64658.000000,35342.000000,14,52872.676104,45537055.034973,896.266589,0.177499,5,5,1,0.005346
22,71412.000000,28588.000000,25,55084.683330,21647048.855532,825.914005,0.168896,5,5,2,0.001814
23,66509.000000,33491.000000,19,62223.322497,4879620.723607,884.957243,0.070082,5,5,1,0.004315
24,65770.000000,34230.000000,13,59107.307252,114507759.550158,753.339730,0.242822,5,5,1,0.003320
25,67420.000000,32580.000000,21,56579.649563,14394430.168868,950.400946,0.204624,5,5,1,0.001810
26,69379.000000,30621.000000,22,61574.533479,20066529.557921,1017.869280,0.185359,5,5,1,0.003431
27,70230.000000,29770.000000,21,50464.350611,58495968.736781,642.010151,0.213810,5,4,1,0.004560
28,63912.000000,36088.000000,15,50981.729924,57566444.610261,798.848028,0.099577,5,4,1,0.003386
29,73159.000000,26841.000000,22,55574.270385,35252883.292093,708.982978,0.290142,5,4,1,0.002629
30,62784.000000,37216.000000,18,50377.685119,95445860.732153,903.024871,0.223139,5,4,1,0.003765
31,48934.000000,51066.000000,5,40205.391961,248670466.519495,925.433458,0.223889,5,4,1,0.005490
32,78747.000000,21253.000000,28,56811.997741,10089280.656915,651.281283,0.199280,5,4,1,0.002496
33,64239.000000,35761.000000,14,55032.072986,65390119.801096,1032.236345,0.119474,5,4,1,0.003062
34,62391.000000,37609.000000,17,54664.864017,8464726.468412,761.980588,0.206400,6,3,2,0.004070
35,70211.000000,29789.000000,24,60041.620214,3938477.164518,771.711256,0.159211,6,3,1,0.002863
36,61053.000000,38947.000000,15,50267.141226,92639631.243816,1001.164549,0.133343,6,3,2,0.002035
37,65742.000000,34258.000000,19,59234.777521,49767884.890111,1098.897207,0.108076,6,2,2,0.002938
38,58219.000000,41781.000000,14,44496.464112,107650938.443953,771.893086,0.220076,6,2,1,0.003479
39,76590.000000,23410.000000,26,56134.107455,14534024.814081,570.551580,0.356034,6,2,2,0.002889
40,66639.000000,33361.000000,17,52243.138410,159536324.491066,853.016345,0.171314,6,2,1,0.004547
41,93842.000000,6158.000000,45,64452.739300,1656145.913704,585.735749,0.257620,6,2,0,0.008013
42,68475.000000,31525.000000,23,55692.724483,63928365.374514,811.432721,0.154784,6,2,2,0.002497
43,55344.000000,44656.000000,10,48019.798050,39080579.940472,1311.176452,0.078354,6,2,1,0.005116
44,77798.000000,22202.000000,24,56846.812557,41374616.444626,799.154303,0.160570,6,2,1,0.002168
45,81742.000000,18258.000000,35,234841.998727,1785612189.247736,2432.248348,0.225475,6,2,1,0.010855
46,69836.000000,30164.000000,21,227855.183520,1668259089.455243,3030.906825,0.145734,6,2,1,0.015409
47,82529.000000,17471.000000,37,232968.457561,1912318098.807275,2561.899421,0.170592,6,2,2,0.011815
48,78318.000000,21682.000000,30,233605.618585,1956987316.235008,2726.950893,0.173237,6,2,1,0.012395
49,84820.000000,15180.000000,31,234509.735550,1684395094.896404,2753.048208,0.213314,6,2,1,0.009896
50,83544.000000,16456.000000,31,236486.143712,1607426078.490820,2800.927753,0.150370,6,2,2,0.014057
51,87044.000000,12956.000000,37,235509.400821,1722714150.688140,2432.715742,0.178423,6,2,1,0.021027
52,81860.000000,18140.000000,32,234220.038440,1768145058.126137,2686.144711,0.142211,6,2,2,0.015792
53,79483.000000,20517.000000,30,231309.992455,2013873410.352280,2586.139157,0.252396,6,2,2,0.010678
54,83349.000000,16651.000000,30,234900.887145,1789820942.747414,2172.422730,0.154255,6,2,1,0.012808
55,86430.000000,13570.000000,35,232648.821704,1949271811.815415,2404.715197,0.148657,6,2,1,0.015157
56,88730.000000,11270.000000,39,234867.603623,1782260038.400296,2410.423334,0.211296,6,2,1,0.014228
57,75264.000000,24736.000000,28,232912.526331,1895579415.052917,3019.244791,0.124063,6,2,1,0.010078
58,91571.000000,8429.000000,42,232270.978431,2051385019.039566,2159.745799,0.203213,6,2,1,0.018280
59,82810.000000,17190.000000,34,231808.266474,2438754825.142640,2582.638203,0.166326,6,2,1,0.007887
60,82162.000000,17838.000000,35,233121.526213,1911877604.574891,2760.882515,0.137446,6,2,2,0.011870
61,80251.000000,19749.000000,32,197080.371899,1318838956.387105,1887.547247,0.119900,6,2,1,0.017028
62,73254.000000,26746.000000,25,197445.610350,1666482821.893654,2355.579705,0.145705,6,2,1,0.012580
63,89370.000000,10630.000000,38,208590.100445,1512564697.563108,1825.367677,0.160614,6,2,1,0.011863
64,81927.000000,18073.000000,34,208927.275157,1308354041.905787,2334.721222,0.105830,6,2,1,0.018011
