generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,54644.000000,45356.000000,8,45109.765951,146211117.570582,1269.784612,0.000000,2,9,1,0.010136
1,74580.000000,25420.000000,29,54956.063385,31221641.926155,798.437459,0.122881,2,9,1,0.003819
2,64867.000000,35133.000000,15,52099.146925,46356239.639578,936.192508,0.094198,2,9,1,0.004626
3,61629.000000,38371.000000,15,49237.809196,101984296.529027,838.313799,0.187036,2,9,1,0.003545
4,74156.000000,25844.000000,27,58221.789924,3958930.052190,750.278948,0.136549,2,9,1,0.002525
5,63959.000000,36041.000000,15,53100.762806,31657563.194713,1094.822400,0.234595,2,9,1,0.003317
6,70421.000000,29579.000000,20,57573.298005,9811974.688967,1023.708852,0.231300,2,9,2,0.002409
7,68201.000000,31799.000000,20,56540.969543,19255937.014937,833.227722,0.239888,2,9,1,0.002646
8,70738.000000,29262.000000,24,60196.595626,10676873.345017,734.017046,0.365761,2,9,1,0.003944
9,65295.000000,34705.000000,19,56268.530998,25153533.262859,882.510702,0.166865,2,9,1,0.005153
10,61616.000000,38384.000000,13,53729.505979,58106774.395229,992.738861,0.175648,2,9,1,0.003174
11,57602.000000,42398.000000,15,53130.717363,15922724.330262,1130.755147,0.267782,2,9,1,0.004070
12,66100.000000,33900.000000,18,57116.553968,8143851.655630,751.262829,0.276116,2,9,1,0.001908
13,67123.000000,32877.000000,20,53019.233263,60439836.118790,844.187551,0.162220,2,9,2,0.004091
14,63418.000000,36582.000000,18,47035.653956,77879433.376937,839.049078,0.260136,2,9,1,0.003462
15,64635.000000,35365.000000,17,51634.884235,108284098.768769,958.499039,0.120809,2,9,1,0.006971
16,69670.000000,30330.000000,14,58025.624256,30720651.362919,1144.069004,0.162308,2,9,1,0.003640
17,63886.000000,36114.000000,18,52038.230375,65893654.992754,978.535169,0.168925,2,7,1,0.004595
18,58499.000000,41501.000000,12,53835.064914,76790729.244289,1069.912926,0.140431,2,7,1,0.003482
19,55964.000000,44036.000000,7,38817.298870,350750716.315917,562.889842,0.199848,2,7,1,0.005514
20,68426.000000,31574.000000,19,58312.692177,22311426.415971,677.875795,0.190781,2,7,1,0.004442
21,77030.000000,22970.000000,28,64269.266182,7078861.521651,931.873147,0.135640,2,7,1,0.001369
22,65825.000000,34175.000000,13,51809.526907,54168496.818442,868.554573,0.162474,2,7,1,0.002736
23,73349.000000,26651.000000,23,54292.741038,32397292.817542,747.833992,0.187886,2,7,1,0.002508
24,65244.000000,34756.000000,20,48977.450423,85485685.829208,797.721837,0.290426,2,7,1,0.002153
25,71333.000000,28667.000000,20,57401.926690,109048699.556794,760.661039,0.221632,2,7,2,0.003160
26,68690.000000,31310.000000,21,56631.541220,78833602.059056,723.310649,0.144336,2,7,1,0.003481
27,61112.000000,38888.000000,12,56677.038030,35421269.702441,1169.041902,0.080868,2,7,2,0.004441
28,76782.000000,23218.000000,28,56782.512483,20592769.685662,797.222652,0.240810,4,7,1,0.002259
29,71035.000000,28965.000000,24,56252.899096,88966224.905950,1023.067849,0.126772,4,7,1,0.002908
30,65676.000000,34324.000000,18,49025.188200,29870248.551904,866.595115,0.170844,4,7,1,0.006064
31,66078.000000,33922.000000,20,53347.231246,45100738.349981,774.182520,0.146517,4,7,1,0.005496
32,82495.000000,17505.000000,31,58867.587581,25888241.754333,502.602894,0.343208,4,7,2,0.002356
33,64832.000000,35168.000000,14,46715.980315,227170887.440228,710.149694,0.160583,4,7,3,0.003625
34,98000.000000,2000.000000,49,66859.690177,3595101.999999,699.487104,0.125571,4,7,0,0.000000
35,62482.000000,37518.000000,16,55813.790897,32917109.633514,923.424318,0.220300,4,7,1,0.003313
36,61712.000000,38288.000000,17,42356.791661,129597445.459587,712.691261,0.214607,4,7,1,0.002882
37,69212.000000,30788.000000,21,40110.883066,76644319.539841,584.906876,0.325903,4,7,2,0.002391
38,62036.000000,37964.000000,17,56288.453162,38577331.993762,663.169980,0.196036,4,7,1,0.003747
39,63139.000000,36861.000000,17,54522.268741,71804859.181883,912.543985,0.103533,4,7,1,0.003409
40,55895.000000,44105.000000,10,47597.352336,52680529.215262,1068.438691,0.102343,4,7,1,0.003785
41,72512.000000,27488.000000,27,55909.110264,32776840.082077,944.213291,0.182414,4,7,1,0.005607
42,59627.000000,40373.000000,18,56384.930723,16552792.712206,1208.760535,0.185684,4,7,1,0.003731
43,64423.000000,35577.000000,19,57392.681453,36986560.413757,1156.505361,0.240539,4,7,2,0.003210
44,61890.000000,38110.000000,19,51097.446047,42201600.953671,859.635398,0.189024,4,7,1,0.004463
45,63858.000000,36142.000000,17,56899.954553,12876280.292036,1026.484615,0.151480,4,7,2,0.003745
46,62273.000000,37727.000000,21,55577.225620,30119160.550862,838.914919,0.271071,4,7,1,0.004179
47,70497.000000,29503.000000,22,58940.302699,13248427.799143,961.387227,0.208533,4,7,1,0.004307
48,68319.000000,31681.000000,20,64228.428747,3756514.377338,943.181741,0.199711,4,7,1,0.003516
49,74069.000000,25931.000000,20,56682.825870,19028328.611291,808.650998,0.142523,3,7,1,0.002412
50,64646.000000,35354.000000,17,58050.213792,20801697.076757,785.282234,0.286358,3,7,2,0.002119
51,70186.000000,29814.000000,18,55144.751025,30015324.676081,782.740612,0.134459,3,7,1,0.003144
52,67696.000000,32304.000000,22,56450.986200,60897870.956445,653.716144,0.199495,3,7,2,0.002969
53,75967.000000,24033.000000,26,54464.635983,20305551.307997,716.739872,0.175967,3,7,1,0.004142
54,72967.000000,27033.000000,23,59756.190840,24756602.498145,876.930038,0.143564,3,7,1,0.002352
55,60173.000000,39827.000000,13,44316.950201,72430661.718375,958.445296,0.307296,3,7,1,0.004327
56,59930.000000,40070.000000,11,50287.360531,115849989.988388,885.589201,0.145598,3,7,1,0.004089
57,98052.000000,1948.000000,49,64462.891628,2592498.586290,664.029900,0.192331,3,7,1,0.003295
58,76563.000000,23437.000000,24,55583.831020,54431182.332372,697.399932,0.254525,3,7,1,0.002147
59,84371.000000,15629.000000,38,225709.248634,2199096126.503295,2321.668490,0.176608,3,7,1,0.010643
60,84253.000000,15747.000000,37,224262.503700,2533255792.537569,2509.166843,0.181648,3,7,2,0.008449
61,84804.000000,15196.000000,35,209720.633292,2041268619.890396,2040.803571,0.163131,3,7,1,0.032776
62,86240.000000,13760.000000,34,215425.608499,2130450958.647537,2095.164301,0.171542,3,7,1,0.018896
63,77950.000000,22050.000000,31,215395.895206,2169673843.422452,2553.479752,0.191882,3,7,1,0.012562
64,82841.000000,17159.000000,30,218707.002582,1736276044.407840,2473.803771,0.172010,3,7,1,0.018289
65,89258.000000,10742.000000,38,226728.462544,2279025110.695844,2249.375442,0.175934,3,7,1,0.018173
66,84597.000000,15403.000000,35,218724.945128,2122503464.605714,2131.109907,0.165408,3,7,1,0.009036
67,78914.000000,21086.000000,32,214710.100968,1533464200.172773,2322.568309,0.112236,4,6,1,0.018990
68,77758.000000,22242.000000,31,214818.917080,2085093237.779854,2569.391909,0.162616,4,6,3,0.012993
69,89115.000000,10885.000000,42,222766.369482,2233263052.498927,2058.322492,0.167830,4,6,1,0.019388
70,89569.000000,10431.000000,40,221573.920139,1789554851.384907,2070.453632,0.225980,4,6,2,0.011911
71,85977.000000,14023.000000,35,213082.221763,2145355871.710645,1808.630294,0.188245,4,6,1,0.015131
72,81599.000000,18401.000000,33,210925.122783,1915809306.961825,2349.354426,0.161957,4,6,1,0.011718
73,81979.000000,18021.000000,35,217699.711413,1780878187.608894,2228.585840,0.170340,4,6,1,0.012833
74,72787.000000,27213.000000,26,215305.510870,2142808524.784276,2441.697724,0.137572,4,6,1,0.010523
75,80679.000000,19321.000000,31,226332.765940,2114382744.173559,2658.171180,0.134583,4,6,2,0.012968
76,75322.000000,24678.000000,31,217705.566485,1916671944.666169,2622.957896,0.110530,4,6,2,0.016991
77,74846.000000,25154.000000,26,204742.624057,1448198844.404090,2227.761527,0.209675,4,6,2,0.016800
78,86857.000000,13143.000000,37,223624.684888,2236166632.651715,2039.770749,0.200653,4,6,1,0.010257
79,96019.000000,3981.000000,44,226883.635852,2115215492.177772,2025.031560,0.138403,4,6,0,0.000000
80,81171.000000,18829.000000,36,216464.306826,2041296018.363421,2558.046221,0.130013,4,3,1,0.015702
81,91016.000000,8984.000000,40,230406.603789,1690692188.958915,1967.997669,0.191152,4,3,2,0.013838
82,85641.000000,14359.000000,39,229549.158528,1716052392.691414,1787.941473,0.143118,4,3,1,0.015695
83,84339.000000,15661.000000,35,232440.322493,1859405077.871905,2470.779206,0.151503,4,3,1,0.012016
84,78708.000000,21292.000000,33,212092.192244,2381067732.193824,2598.459512,0.193013,4,3,3,0.012370
85,74033.000000,25967.000000,28,208097.714483,1785974553.477333,2827.435337,0.137482,4,3,3,0.011795
86,77908.000000,22092.000000,29,219463.864010,2190173846.744030,2394.241053,0.145268,4,3,1,0.025372
87,86918.000000,13082.000000,38,217663.437504,2354483560.273420,2157.628501,0.187549,4,3,1,0.020541
88,81989.000000,18011.000000,35,221777.178174,2364053858.109550,2360.994854,0.161787,4,3,1,0.014979
89,77060.000000,22940.000000,30,221812.786687,2229809051.283676,2588.041776,0.120545,4,3,1,0.015741
90,80800.000000,19200.000000,34,219452.862146,2297090264.982084,2155.434206,0.183255,4,3,1,0.020856
91,80166.000000,19834.000000,33,222262.127180,1922206343.176177,2592.392418,0.146984,4,3,2,0.028979
92,79778.000000,20222.000000,30,222763.302389,1676077664.701102,2409.171554,0.149821,4,3,1,0.016673
93,75958.000000,24042.000000,28,204328.581827,2184595810.847034,2487.835469,0.157908,4,3,1,0.019104
94,77438.000000,22562.000000,29,205522.433085,2229754274.207445,2536.893689,0.174869,4,3,1,0.014533
95,71911.000000,28089.000000,24,214401.719987,1836471119.187684,2930.686657,0.153390,5,3,1,0.022939
96,90827.000000,9173.000000,35,223759.692758,2217230202.105036,2263.768286,0.163085,5,3,1,0.016410
97,66875.000000,33125.000000,20,223390.472364,1987859331.129999,3057.970708,0.118218,9,3,1,0.019568
98,80483.000000,19517.000000,28,225534.997960,1631350567.834254,2674.256338,0.162205,9,3,1,0.021992
99,82369.000000,17631.000000,32,229073.778343,2025158450.991498,2602.382104,0.141132,9,3,1,0.015975
100,79803.000000,20197.000000,32,223582.919635,1523734787.601202,2518.889474,0.135434,9,3,1,0.013978
101,78426.000000,21574.000000,30,224800.869006,2193143419.017716,2390.395806,0.139440,9,3,1,0.013376
102,70673.000000,29327.000000,22,216693.109072,2214678796.538158,2936.365271,0.156071,9,3,1,0.022998
103,72891.000000,27109.000000,26,216442.778483,1881548054.696420,2773.015988,0.122643,9,3,1,0.020937
104,71518.000000,28482.000000,22,229838.889867,1778227470.163217,3218.957773,0.117962,9,3,1,0.023243
105,73731.000000,26269.000000,26,214485.713469,2451930357.713681,3071.608920,0.116512,9,3,1,0.017836
106,76464.000000,23536.000000,31,199816.958557,2421644341.744898,2421.814838,0.144440,9,3,1,0.010379
107,77067.000000,22933.000000,28,217203.347017,1672619552.833872,2581.328524,0.143036,9,3,1,0.021002
108,80896.000000,19104.000000,31,221864.179990,2216939232.084965,2198.174657,0.155623,9,3,1,0.027192
109,88040.000000,11960.000000,40,226733.911277,2065682947.256804,2179.019369,0.152689,9,3,1,0.017608
110,77549.000000,22451.000000,25,207849.012370,2602739468.414337,2412.866393,0.164407,9,3,1,0.013843
111,77298.000000,22702.000000,29,212077.412072,2438260177.437890,2314.078343,0.183183,9,3,1,0.017736
112,80241.000000,19759.000000,32,224966.712739,2120562792.666042,2211.904369,0.164950,9,3,1,0.016837
113,80750.000000,19250.000000,34,230153.218771,1754605287.319161,2455.508493,0.122633,9,3,1,0.012813
114,81609.000000,18391.000000,32,213022.781323,2596698237.736372,2356.973931,0.130193,9,3,2,0.016940
115,82224.000000,17776.000000,33,225466.734916,1826128806.985720,2504.372200,0.152548,9,3,1,0.015048
116,86954.000000,13046.000000,39,210581.970037,2532213599.700565,1957.709526,0.186105,9,3,1,0.006415
117,86090.000000,13910.000000,32,224374.054436,1955648290.907866,2069.262618,0.187704,9,3,1,0.014818
118,68878.000000,31122.000000,22,216353.598507,2428217580.755132,4186.682033,0.133660,9,3,1,0.024130
119,88678.000000,11322.000000,37,227465.547144,1822489225.966956,2046.830934,0.184731,9,3,1,0.016959
120,78944.000000,21056.000000,30,223493.197121,1757070581.012594,2695.177598,0.149602,8,3,1,0.014606
121,85930.000000,14070.000000,34,228451.158968,2009438433.441895,2216.507540,0.168578,8,3,1,0.011085
122,70720.000000,29280.000000,22,219150.969973,1554895607.355422,3469.125188,0.110197,8,3,1,0.018672
123,97271.000000,2729.000000,47,226034.511153,2012626764.161454,1972.953714,0.167527,8,3,1,0.005894
124,77522.000000,22478.000000,27,225790.336958,1655117106.726277,2453.937591,0.137984,8,3,1,0.016150
125,91722.000000,8278.000000,43,223824.349721,1767910975.350937,2118.752599,0.160459,8,3,1,0.004593
126,74775.000000,25225.000000,26,205776.058629,1752158411.316213,2298.363878,0.166348,8,3,1,0.037712
127,73297.000000,26703.000000,26,211618.021876,1701982650.364801,2567.231504,0.159198,8,3,1,0.020327
128,82671.000000,17329.000000,34,205787.813552,1745981352.846542,2144.966369,0.176401,8,3,1,0.014195
129,78014.000000,21986.000000,25,220879.511539,1870976034.188037,2548.721168,0.147657,8,3,1,0.014081
130,71160.000000,28840.000000,26,220078.904314,2078745406.952338,2562.438224,0.135156,8,3,1,0.023505
131,74683.000000,25317.000000,27,211455.262643,1472949910.645796,2385.618774,0.133819,8,3,1,0.024788
132,81159.000000,18841.000000,33,217080.538863,1971723605.607721,2355.724988,0.157431,8,3,1,0.013836
133,82643.000000,17357.000000,33,226469.226365,2154525128.557858,2573.558114,0.125018,8,3,1,0.019609
134,76579.000000,23421.000000,28,218099.390246,2777447381.542270,2898.388772,0.127315,8,3,1,0.024533
135,86351.000000,13649.000000,36,223090.838985,1946542778.044749,2160.848410,0.160475,8,3,1,0.021203
136,78965.000000,21035.000000,31,207893.002520,2286150776.980523,2331.580644,0.147498,8,3,1,0.019726
137,77144.000000,22856.000000,26,216968.869296,1795741479.350534,2730.530999,0.138561,8,3,1,0.015641
138,88040.000000,11960.000000,35,222011.363423,1772644604.995244,2258.280549,0.173004,8,3,1,0.019960
139,79880.000000,20120.000000,33,226598.523525,2038054894.953947,2453.320220,0.134938,8,3,1,0.012981
140,75238.000000,24762.000000,27,214091.617184,1960703086.608478,2951.675510,0.134308,8,3,1,0.026536
141,80180.000000,19820.000000,27,222369.817173,1718963580.072853,2479.100922,0.143408,8,3,1,0.018733
142,80814.000000,19186.000000,29,221302.265937,1903653569.753594,2410.071606,0.162942,8,3,1,0.017623
143,78449.000000,21551.000000,28,221000.576952,1939754432.639227,2662.379347,0.130472,8,3,1,0.019804
144,83476.000000,16524.000000,33,223763.616972,2082818106.775229,2481.767266,0.140824,8,3,1,0.018757
145,77828.000000,22172.000000,27,219262.707254,1738020845.573680,2346.160036,0.132289,4,3,1,0.016566
146,80020.000000,19980.000000,33,227295.695105,1726170283.887145,2449.144814,0.151905,4,3,1,0.016512
147,72089.000000,27911.000000,24,203695.076380,1621726274.968358,2871.580351,0.142517,4,3,1,0.029608
148,74617.000000,25383.000000,28,204335.042629,1490829374.070912,2449.085062,0.114344,4,3,1,0.018604
149,76684.000000,23316.000000,28,218054.438314,2152724860.108563,2752.161412,0.139692,4,3,1,0.015795
150,81522.000000,18478.000000,31,216892.340687,2281965317.923037,2270.911462,0.151276,0,3,2,0.020206
151,82797.000000,17203.000000,31,224441.571762,1699150189.716477,2340.720990,0.137232,0,3,1,0.015740
152,75417.000000,24583.000000,25,208900.075409,2029895101.225249,2608.892575,0.132345,0,3,1,0.019686
153,88288.000000,11712.000000,39,228975.283672,1976951834.047270,2289.967932,0.124916,0,3,1,0.008230
154,73243.000000,26757.000000,25,202866.291641,1897518437.539965,2737.393031,0.114221,0,3,1,0.015437
155,81932.000000,18068.000000,30,220949.013817,2085707831.333192,2577.912000,0.124895,0,3,1,0.016443
156,77264.000000,22736.000000,24,217094.831955,1890358743.910835,2821.821780,0.123679,0,3,1,0.012047
157,74993.000000,25007.000000,25,224330.223169,2054728497.313404,3217.811306,0.134478,0,3,2,0.013090
158,82085.000000,17915.000000,30,220460.157314,2082377158.245161,2774.469582,0.138917,0,3,1,0.020160
159,79540.000000,20460.000000,30,221145.274304,1913745790.165595,2599.456891,0.141048,0,3,1,0.015971
160,77576.000000,22424.000000,30,216924.823173,1691729475.432668,2480.239157,0.161207,0,3,1,0.014412
161,85210.000000,14790.000000,32,223594.367342,2321460720.532212,2382.491319,0.154424,0,3,1,0.016377
162,84663.000000,15337.000000,32,222302.993514,2345230731.807003,2438.614308,0.133426,0,3,2,0.023568
163,77268.000000,22732.000000,26,218389.193976,1838832855.151790,2738.412070,0.123960,0,3,1,0.008789
164,76969.000000,23031.000000,27,210526.290745,1689676616.798749,2495.550309,0.168320,0,3,2,0.021795
165,74536.000000,25464.000000,29,214917.784451,2485367839.475482,2538.956469,0.150407,0,3,1,0.015822
166,80846.000000,19154.000000,31,213275.153133,2315663320.666783,2574.515395,0.129347,0,3,1,0.019098
167,80773.000000,19227.000000,30,216892.418141,1913391552.312918,2317.510972,0.132357,0,3,1,0.021428
168,72061.000000,27939.000000,22,223712.868527,1988641936.495976,3011.689999,0.127867,0,3,1,0.025458
169,75565.000000,24435.000000,26,212533.347901,1813117607.482779,2671.186454,0.142153,0,3,1,0.012408
170,78772.000000,21228.000000,28,199425.879793,2049737324.364219,2443.375667,0.129138,0,3,1,0.025030
171,88334.000000,11666.000000,33,222228.973317,2554151242.293091,2229.965169,0.154036,0,3,1,0.008700
172,79318.000000,20682.000000,31,215613.011994,1880140189.777575,2538.373859,0.164808,0,3,1,0.012556
173,81160.000000,18840.000000,30,225079.317350,2398322977.837806,2727.977866,0.152215,0,3,1,0.017243
174,77306.000000,22694.000000,29,222043.274764,2633278399.017485,2569.133897,0.144960,0,3,1,0.020300
175,73687.000000,26313.000000,26,225697.562316,1946806515.872252,2596.830969,0.148334,0,3,1,0.026276
176,74923.000000,25077.000000,26,220711.979883,1612580200.521205,2926.001929,0.120427,0,3,1,0.024693
177,75104.000000,24896.000000,23,203267.989124,1596772689.020029,2555.544419,0.159827,0,3,2,0.016223
178,89115.000000,10885.000000,40,221662.126362,2553922821.315241,2217.961616,0.171643,0,3,1,0.011830
179,84869.000000,15131.000000,34,214927.687045,2018767331.192712,2314.819937,0.161669,0,3,1,0.027829
180,76677.000000,23323.000000,28,224645.062097,1962719542.753356,2448.247597,0.126873,0,3,1,0.029082
181,71366.000000,28634.000000,22,216699.918759,1873946658.466353,2921.858133,0.123215,0,3,1,0.012314
182,84269.000000,15731.000000,31,224478.080305,1897988080.836086,2365.717419,0.157468,0,3,1,0.012647
183,96874.000000,3126.000000,47,231425.710692,1821123304.742745,2053.819881,0.162774,0,3,1,0.003438
184,85336.000000,14664.000000,33,226504.952612,1907637008.127539,2399.697683,0.156586,0,3,1,0.014596
185,68925.000000,31075.000000,21,208086.558432,1355508476.978420,2822.118965,0.108552,0,3,1,0.032745
186,79638.000000,20362.000000,32,219189.951459,2207174827.648441,2516.474986,0.143582,0,3,1,0.016570
187,67923.000000,32077.000000,21,213760.203765,1562560094.007623,3205.442116,0.123914,0,3,1,0.014496
188,81845.000000,18155.000000,32,206654.944929,1508978683.812920,2278.133500,0.139555,0,3,1,0.013956
189,80252.000000,19748.000000,33,214550.185416,1667467759.558169,2862.197697,0.150890,0,3,1,0.012454
190,80132.000000,19868.000000,29,209202.614171,2291130915.073071,2645.133400,0.140337,0,3,1,0.014059
191,69554.000000,30446.000000,23,200907.658464,1638617419.406092,2981.549046,0.152692,0,3,1,0.031346
192,81185.000000,18815.000000,29,198405.955329,1681297923.460363,2019.790444,0.170937,0,3,1,0.018285
193,82810.000000,17190.000000,32,183385.225635,1484929177.726097,1842.188014,0.181012,0,3,1,0.018373
194,72545.000000,27455.000000,26,191612.581491,1493362263.986623,2594.688764,0.159137,0,3,1,0.019979
195,81522.000000,18478.000000,33,212601.045600,1936069254.056801,2268.659824,0.157261,0,3,1,0.029082
196,82532.000000,17468.000000,32,224481.736237,1436134298.709302,2521.227395,0.104683,0,6,1,0.018813
197,83742.000000,16258.000000,32,222453.533877,2287865919.733381,2573.119815,0.153981,0,6,1,0.018557
198,82668.000000,17332.000000,34,226346.330874,1395221550.790272,2417.779904,0.161508,0,6,1,0.019366
199,85844.000000,14156.000000,36,230752.098194,1439159134.391526,2387.121677,0.133358,0,6,1,0.017229
200,78568.000000,21432.000000,31,224023.823347,1262673316.791844,2763.359505,0.123238,0,6,1,0.027047
201,78543.000000,21457.000000,25,209949.708964,1527435055.398275,2364.154654,0.138504,0,6,1,0.024093
