generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,87350.000000,12650.000000,38,137455.604024,686647551.936906,1187.764039,0.231645,4,7,1,0.011975
1,72556.000000,27444.000000,27,161183.727755,1097636796.438568,2189.881747,0.182809,4,7,1,0.034611
2,78895.000000,21105.000000,31,179381.467582,1204562312.968852,2591.948159,0.152276,4,7,1,0.010594
3,84916.000000,15084.000000,34,174139.104625,2020904313.888756,1865.417362,0.145947,4,7,1,0.015010
4,71248.000000,28752.000000,23,152474.107160,588115915.403485,2066.249357,0.170240,4,7,1,0.020386
5,87047.000000,12953.000000,37,177572.228954,1301932538.250429,1735.031945,0.210549,4,7,1,0.010234
6,79687.000000,20313.000000,31,148084.174889,758454149.512374,1475.900449,0.292981,5,7,1,0.019840
7,79389.000000,20611.000000,31,127358.733130,296744225.032231,1090.160265,0.240247,5,7,1,0.016579
8,81382.000000,18618.000000,30,108414.271294,273586872.872408,1026.122728,0.381473,5,7,1,0.015758
9,82252.000000,17748.000000,31,112048.875260,487043348.868157,1213.204722,0.298472,5,7,1,0.015492
10,79884.000000,20116.000000,31,109201.307227,228052010.239266,1179.849229,0.301398,5,7,1,0.014074
11,82823.000000,17177.000000,32,109485.015715,553392294.915712,1204.695584,0.361487,5,7,1,0.011428
12,79984.000000,20016.000000,30,113971.812124,250609223.006900,1141.486773,0.290279,5,7,1,0.013386
13,75155.000000,24845.000000,27,109730.816023,205520120.091060,1580.046973,0.327409,5,7,2,0.012983
14,79861.000000,20139.000000,31,121482.781271,457920192.138323,1482.994304,0.268307,5,7,1,0.017907
15,82573.000000,17427.000000,35,122050.664407,408029857.134408,1244.391316,0.285482,5,7,1,0.002331
16,78901.000000,21099.000000,32,106370.729577,308941065.875791,1203.441065,0.280190,5,7,1,0.014491
17,70328.000000,29672.000000,17,77082.998492,505462730.755634,858.146649,0.380504,5,7,1,0.012101
18,74041.000000,25959.000000,28,125126.037439,491699310.229130,1269.147191,0.243258,5,7,1,0.012314
19,78549.000000,21451.000000,29,121527.546546,571880763.525622,1264.453927,0.228327,5,7,1,0.012210
20,86937.000000,13063.000000,39,111182.377258,369102447.377149,1300.760729,0.364492,5,7,1,0.017674
21,76203.000000,23797.000000,28,110187.440414,153965926.523722,1147.385932,0.282174,5,7,2,0.012932
22,74111.000000,25889.000000,29,136088.984008,602971880.462806,1614.414403,0.274667,5,7,1,0.015932
23,91327.000000,8673.000000,38,154597.389929,865202303.073249,1065.907713,0.251218,5,7,2,0.009452
24,79742.000000,20258.000000,31,139295.353146,1014846239.761627,1296.926852,0.257252,5,7,1,0.013498
25,80751.000000,19249.000000,30,151004.571088,878412491.003846,1466.763765,0.220255,5,7,1,0.029191
26,85399.000000,14601.000000,35,111003.492929,267678128.700547,1090.395830,0.324258,5,7,1,0.013388
27,76035.000000,23965.000000,28,121747.656366,500191587.666425,1275.852859,0.255284,5,7,1,0.014753
28,71255.000000,28745.000000,21,138946.804351,492905898.368632,1954.010069,0.250430,4,4,1,0.017054
29,76979.000000,23021.000000,27,107557.619908,287231185.026969,1109.153769,0.326689,4,4,1,0.017224
30,72780.000000,27220.000000,27,103216.713173,340233100.027495,1218.043556,0.317477,4,4,1,0.021351
31,76577.000000,23423.000000,25,120881.567475,366802289.813370,1384.995719,0.219162,4,4,1,0.025660
32,88270.000000,11730.000000,40,131147.851512,807820854.677661,1278.762916,0.320602,4,4,1,0.010058
33,81226.000000,18774.000000,30,140210.776370,579342691.203097,1385.865261,0.278792,3,4,1,0.018174
34,64747.000000,35253.000000,13,74117.218206,406669990.485403,1008.255718,0.308257,3,4,1,0.013437
35,62887.000000,37113.000000,16,73653.566829,155425170.332481,1162.913136,0.326123,3,4,1,0.028044
36,81684.000000,18316.000000,30,111262.724128,649336519.510695,1215.121178,0.291303,3,4,1,0.022556
37,68500.000000,31500.000000,20,91413.767937,645800082.575944,1018.071770,0.302752,3,4,1,0.020719
38,77733.000000,22267.000000,25,133354.709621,707450794.247298,1400.508322,0.372182,3,4,1,0.027747
39,67607.000000,32393.000000,22,92180.068607,194767066.148360,1206.747557,0.270963,3,4,1,0.027368
40,77067.000000,22933.000000,27,108987.138513,512757873.037140,1046.551769,0.264371,3,4,1,0.015783
41,74643.000000,25357.000000,24,133265.291220,438569831.049838,1544.822458,0.238944,3,4,1,0.012822
42,65368.000000,34632.000000,19,84630.567977,333498032.563975,1141.122953,0.324299,3,4,1,0.021289
