Update,NOT,NAND,AND,EPS,OR,ANDN,NOR,XOR,EQU
# Reaction counts - Low resource environment
# Brian Connelly - 2011/12/15

7400.0,241.0,20.0,471.0,24.0,21.0,2976.0,3608.0,0.0,0.0
7500.0,230.0,5.0,193.0,26.0,31.0,3223.0,3937.0,0.0,0.0
7600.0,233.0,3.0,134.0,31.0,34.0,3367.0,4169.0,0.0,0.0
7700.0,198.0,0.0,81.0,30.0,62.0,3127.0,4047.0,0.0,0.0
7800.0,178.0,0.0,61.0,19.0,32.0,3172.0,4008.0,0.0,0.0
7900.0,201.0,1.0,56.0,20.0,74.0,3110.0,4044.0,0.0,0.0
8000.0,191.0,2.0,57.0,23.0,78.0,3224.0,4272.0,0.0,0.0
8100.0,181.0,4.0,66.0,37.0,68.0,3047.0,3994.0,0.0,0.0
8200.0,225.0,3.0,51.0,35.0,106.0,3151.0,4052.0,0.0,0.0
8300.0,184.0,6.0,59.0,28.0,109.0,3146.0,4040.0,0.0,0.0
8400.0,195.0,0.0,46.0,33.0,150.0,3002.0,3953.0,0.0,0.0
8500.0,203.0,10.0,50.0,33.0,102.0,2961.0,3919.0,0.0,0.0
8600.0,210.0,4.0,58.0,31.0,114.0,3224.0,4132.0,0.0,0.0
8700.0,219.0,13.0,61.0,35.0,91.0,3162.0,4084.0,0.0,0.0
8800.0,224.0,26.0,54.0,51.0,106.0,3028.0,4081.0,0.0,0.0
8900.0,168.0,20.0,42.0,37.0,121.0,3115.0,4073.0,0.0,0.0
9000.0,221.0,18.0,41.0,38.0,94.0,3008.0,3953.0,0.0,0.0
9100.0,231.0,10.0,41.0,54.0,126.0,3275.0,4331.0,0.0,0.0
9200.0,207.0,29.0,75.0,37.0,172.0,3172.0,4171.0,0.0,0.0
9300.0,203.0,18.0,64.0,31.0,176.0,2962.0,3918.0,0.0,0.0
9400.0,208.0,18.0,80.0,32.0,112.0,3277.0,4128.0,0.0,0.0
9500.0,223.0,29.0,77.0,26.0,110.0,3155.0,4065.0,0.0,0.0
9600.0,228.0,27.0,60.0,32.0,105.0,3114.0,4076.0,0.0,0.0
9700.0,197.0,4.0,63.0,28.0,151.0,2981.0,3962.0,0.0,0.0
9800.0,212.0,0.0,56.0,36.0,176.0,3070.0,4088.0,0.0,0.0
9900.0,199.0,7.0,52.0,28.0,203.0,3156.0,4327.0,0.0,0.0
10000.0,205.0,3.0,80.0,31.0,212.0,3080.0,4194.0,0.0,0.0
10100.0,210.0,3.0,83.0,23.0,238.0,3091.0,4112.0,0.0,0.0
10200.0,184.0,3.0,62.0,23.0,202.0,3046.0,4162.0,0.0,0.0
10300.0,235.0,7.0,80.0,21.0,256.0,3083.0,4171.0,0.0,0.0
10400.0,222.0,5.0,49.0,20.0,221.0,3066.0,4194.0,0.0,0.0
10500.0,221.0,5.0,71.0,30.0,162.0,2924.0,3985.0,0.0,0.0
10600.0,245.0,2.0,63.0,25.0,211.0,3107.0,4225.0,0.0,0.0
