generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,57419.000000,42581.000000,15,49811.993795,55362672.416696,807.385577,0.345918,1,4,1,0.005988
1,67994.000000,32006.000000,18,52172.420077,71344740.772980,802.882421,0.139502,1,4,1,0.003821
2,66437.000000,33563.000000,24,62389.370687,6740267.758805,1045.714370,0.178599,1,3,1,0.002649
3,65154.000000,34846.000000,17,54397.305378,70702693.131903,884.417677,0.176632,1,3,1,0.003219
4,77175.000000,22825.000000,31,52476.517219,30891104.639783,635.375932,0.269088,1,3,1,0.002613
5,69908.000000,30092.000000,19,55961.559732,55731140.468272,840.759353,0.203222,1,3,1,0.005939
6,66422.000000,33578.000000,18,55358.265392,56689869.171360,710.611608,0.209270,1,3,1,0.006653
7,70310.000000,29690.000000,23,59991.080395,26964776.349246,1052.312815,0.091571,1,3,1,0.005987
8,63650.000000,36350.000000,17,52688.615562,36751308.432030,770.083799,0.240938,1,3,1,0.003551
9,67826.000000,32174.000000,16,51994.624426,53488982.531194,818.607747,0.176887,1,3,1,0.005631
10,79427.000000,20573.000000,32,59326.924054,7333575.955636,783.815924,0.174138,1,3,1,0.002607
11,69679.000000,30321.000000,21,55012.915100,22292394.444621,945.183318,0.304342,1,3,1,0.001774
12,80045.000000,19955.000000,30,53963.396218,32424023.336267,729.956654,0.210150,1,3,1,0.002797
13,69695.000000,30305.000000,20,52870.424846,15605473.609154,651.807323,0.246708,1,3,1,0.004568
14,78414.000000,21586.000000,25,59961.106445,18811379.356372,717.537371,0.233744,1,3,1,0.002657
15,65194.000000,34806.000000,20,57165.727215,20414193.940562,1028.034322,0.225522,1,3,1,0.004831
16,67877.000000,32123.000000,22,54557.130407,42351700.296680,663.854772,0.317746,1,3,1,0.004302
17,67310.000000,32690.000000,21,52841.801079,28848139.543301,1016.786396,0.308571,1,3,1,0.003826
18,69368.000000,30632.000000,24,54389.541165,28278519.595749,748.972952,0.208347,1,3,1,0.003401
19,63949.000000,36051.000000,15,50795.097861,104746795.113941,1008.455574,0.188046,1,3,1,0.003723
20,68652.000000,31348.000000,25,60390.180498,3520796.813173,964.557222,0.149451,1,5,1,0.002503
21,94966.000000,5034.000000,43,64013.238093,3562528.374851,695.390480,0.185939,1,5,0,0.001318
22,66769.000000,33231.000000,21,56814.270087,15234785.038165,969.520718,0.166208,1,5,1,0.001844
23,58633.000000,41367.000000,12,42342.815662,135776052.051375,761.752559,0.197815,1,5,2,0.002480
24,70947.000000,29053.000000,19,51733.268797,58524714.496529,712.738894,0.162482,1,5,1,0.001311
25,60570.000000,39430.000000,14,55379.783303,17023861.448629,849.657049,0.198687,1,5,1,0.002117
26,58851.000000,41149.000000,13,55963.408862,37520829.931368,1358.324561,0.087613,1,5,1,0.003044
27,58766.000000,41234.000000,13,51611.624321,37841473.035092,1280.051453,0.145585,1,5,1,0.001791
28,74573.000000,25427.000000,23,60785.649535,16643542.495105,692.509515,0.238251,1,5,1,0.002194
29,68490.000000,31510.000000,23,59066.510264,14774721.573753,1035.060490,0.144685,1,5,1,0.002536
30,68479.000000,31521.000000,17,51520.173775,54125566.842073,876.808779,0.137256,0,4,1,0.001628
31,55639.000000,44361.000000,9,54038.859976,49417135.018233,1242.936032,0.164409,0,4,1,0.002130
32,73112.000000,26888.000000,23,49797.430549,65120557.840222,550.730630,0.241115,0,4,1,0.001729
33,71379.000000,28621.000000,22,56191.081112,28302131.560654,897.813289,0.195252,0,4,1,0.001250
34,69340.000000,30660.000000,18,54449.672460,45466638.616275,778.111742,0.279643,0,4,1,0.001348
35,64610.000000,35390.000000,16,61285.125121,6899457.820297,1291.252686,0.180665,0,4,1,0.004776
36,68779.000000,31221.000000,19,45887.501898,57543423.843758,722.771534,0.141903,0,4,1,0.006172
37,83482.000000,16518.000000,37,66575.834418,2919359.006639,834.279367,0.110705,0,4,1,0.002443
38,64079.000000,35921.000000,15,59088.054521,20369368.370857,840.920090,0.161317,0,4,1,0.001913
39,66829.000000,33171.000000,21,61718.101709,7969948.959218,1082.470971,0.182218,0,4,1,0.001291
40,55466.000000,44534.000000,10,37259.759304,219458832.477882,745.048139,0.198891,0,4,2,0.003425
41,72898.000000,27102.000000,25,54701.909215,14579856.774522,711.719760,0.226929,0,4,1,0.002232
42,58144.000000,41856.000000,13,49992.872163,35692290.230104,1009.294941,0.221764,0,4,1,0.003426
43,60490.000000,39510.000000,13,56493.072718,13683043.633715,860.496591,0.121664,0,4,1,0.002289
44,66140.000000,33860.000000,19,50414.927722,29303104.095228,762.589146,0.125177,0,4,1,0.002784
45,82234.000000,17766.000000,32,54421.857029,6830404.652056,630.518792,0.229572,0,4,2,0.001905
46,64260.000000,35740.000000,17,50518.527034,59357838.830240,776.137333,0.261553,0,4,2,0.002185
