generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,92489.000000,7511.000000,44,62560.257866,4593230.504217,626.220941,0.261606,0,7,0,0.004964
1,64315.000000,35685.000000,11,54534.585771,74929248.266688,932.400040,0.219007,0,7,1,0.005530
2,63210.000000,36790.000000,15,58187.584983,50235803.381152,817.015093,0.175974,0,7,1,0.005290
3,58917.000000,41083.000000,12,52397.223968,117002593.375341,1030.315940,0.125710,0,7,1,0.007625
4,60772.000000,39228.000000,11,55380.972343,80276643.528937,732.767019,0.216803,0,7,1,0.003690
5,66648.000000,33352.000000,17,54859.775202,63637418.065511,755.620286,0.214290,0,7,1,0.005004
6,77134.000000,22866.000000,29,212981.493359,1725547766.292475,2717.365173,0.149324,0,7,1,0.012253
7,82906.000000,17094.000000,34,217387.261695,2099339091.618209,2445.704424,0.134666,0,7,1,0.011898
8,82684.000000,17316.000000,34,217981.454255,1596223415.311592,2177.105313,0.129569,0,7,1,0.014022
9,77386.000000,22614.000000,28,230054.738057,1973820262.236194,2900.269008,0.145293,0,7,1,0.010228
10,87193.000000,12807.000000,39,228803.122455,2155027725.950428,2377.311841,0.172640,0,7,1,0.009728
11,82755.000000,17245.000000,34,219794.665262,2248492031.122344,2301.731259,0.143074,0,7,2,0.015193
12,86201.000000,13799.000000,33,230704.649842,1981069078.568635,1973.617633,0.147657,0,10,1,0.016020
13,84397.000000,15603.000000,34,221010.157147,1853688915.631409,2505.088348,0.153200,0,10,2,0.010634
14,85367.000000,14633.000000,36,229753.594864,2145715014.557658,2359.538355,0.160669,0,10,1,0.015188
15,76475.000000,23525.000000,29,227100.138171,1805890923.675663,2679.872648,0.115367,0,10,1,0.023565
16,80781.000000,19219.000000,33,225440.917173,1829146006.360812,2406.985946,0.114130,0,10,2,0.016693
17,78639.000000,21361.000000,30,219082.470445,2200190427.312729,2624.293023,0.175535,0,10,1,0.026416
18,77989.000000,22011.000000,31,220760.186564,2105089064.252006,2602.904763,0.135870,0,10,1,0.013129
19,80477.000000,19523.000000,33,217695.320685,2149351051.558303,2240.903876,0.153668,0,10,1,0.014403
20,88969.000000,11031.000000,39,225436.931553,1827402043.477959,2182.152403,0.144672,0,10,1,0.014205
21,87740.000000,12260.000000,36,216512.316747,1783671392.889574,2401.730949,0.134019,0,9,1,0.017523
22,80612.000000,19388.000000,32,228498.287769,2354347420.104373,2454.509731,0.139887,0,9,1,0.013025
23,86945.000000,13055.000000,40,214753.265729,1918777386.158283,2102.205007,0.161906,1,8,1,0.009948
24,89140.000000,10860.000000,38,224539.819791,2064200248.854526,2009.299863,0.151817,1,8,1,0.008713
25,80534.000000,19466.000000,34,223909.166920,1879026231.165154,2528.354994,0.143553,1,8,2,0.014393
26,85091.000000,14909.000000,32,221460.751815,1639270438.041045,2292.392433,0.194267,1,8,1,0.018145
27,87180.000000,12820.000000,37,229622.542032,1802210818.254318,2561.294877,0.166866,1,8,1,0.015608
28,79401.000000,20599.000000,31,225910.456521,2133384761.397976,2735.623990,0.133786,1,8,1,0.018429
29,80972.000000,19028.000000,33,205543.591704,2172251973.473673,2338.987122,0.148098,1,8,1,0.013462
30,84141.000000,15859.000000,36,221507.434292,1865372038.216422,2707.807486,0.131127,1,8,1,0.010999
31,80301.000000,19699.000000,30,224367.852038,1939876632.033262,2637.050114,0.156438,0,6,3,0.020322
