generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,96491.000000,3509.000000,48,61103.364329,0.000000,599.296146,0.000000,7,3,0,0.000002
1,44932.000000,55068.000000,3,33840.561692,190206581.467772,2049.199162,0.000000,7,3,1,0.006015
2,55779.000000,44221.000000,13,46892.503201,96271768.366525,905.776322,0.000000,7,3,1,0.002222
3,74187.000000,25813.000000,25,62904.868073,6289054.663500,810.158035,0.239834,7,3,1,0.003123
4,65729.000000,34271.000000,20,143780.304198,895139192.324654,2592.103640,0.186946,7,3,1,0.012837
5,82239.000000,17761.000000,34,148296.950800,1335745574.652657,1627.986425,0.202700,7,3,1,0.009559
6,74460.000000,25540.000000,27,179462.920676,1799392003.084427,2120.356945,0.131325,7,3,2,0.010173
7,84707.000000,15293.000000,35,205647.580633,2973519709.585893,2148.817131,0.185880,8,2,1,0.023900
8,83876.000000,16124.000000,35,220985.902376,2681799929.957685,2304.812852,0.206010,8,2,2,0.011172
9,76649.000000,23351.000000,26,209377.157476,1758475054.521054,2749.490918,0.197849,8,2,1,0.021755
10,88702.000000,11298.000000,40,217354.287318,2496830220.448563,2183.047156,0.199744,8,2,1,0.013286
11,80376.000000,19624.000000,31,218056.599486,2333386387.171782,2475.324405,0.113339,8,2,1,0.024728
12,85033.000000,14967.000000,34,210635.750259,2477810094.623764,2091.959851,0.195662,8,2,3,0.009069
13,79690.000000,20310.000000,34,204042.979864,2479410491.823484,2537.228581,0.150145,6,2,3,0.014644
14,64986.000000,35014.000000,21,215389.506901,2536309877.932896,2818.775898,0.149978,6,2,1,0.025553
15,82335.000000,17665.000000,34,220757.275236,2180610841.512833,2238.172746,0.172638,5,2,2,0.013063
16,77483.000000,22517.000000,30,214505.521484,2688408457.749805,2274.987934,0.167943,5,2,3,0.014630
17,84701.000000,15299.000000,37,216546.649051,2527211803.817452,2371.412292,0.135899,5,2,1,0.014701
18,87616.000000,12384.000000,38,220200.456230,2695376150.516956,2015.620649,0.166580,5,2,2,0.013543
19,77332.000000,22668.000000,29,208183.003673,2076724299.544294,2339.251503,0.142663,5,2,1,0.010588
20,83572.000000,16428.000000,37,223694.165152,2324572567.867530,2636.682800,0.147755,5,2,1,0.019208
21,84928.000000,15072.000000,39,217824.490574,2775003922.751559,2425.944419,0.195435,5,2,1,0.010027
22,88012.000000,11988.000000,39,211829.657342,2715759430.902614,2089.306931,0.170801,5,2,1,0.013367
23,81657.000000,18343.000000,33,209895.802622,2598828161.872830,2430.621608,0.190160,5,2,1,0.010162
24,76737.000000,23263.000000,29,217979.292116,3148318653.530984,2466.464895,0.199917,5,2,1,0.017415
25,84740.000000,15260.000000,33,211765.513902,2935731121.515000,2170.211746,0.159697,3,2,3,0.014418
26,94867.000000,5133.000000,43,207027.365935,2392242490.463972,1648.439645,0.182935,3,2,2,0.017111
