generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,49762.000000,50238.000000,6,39816.141229,219306009.244652,1422.628989,0.000000,4,5,1,0.005360
1,59292.000000,40708.000000,10,43378.779291,132095931.185056,722.680543,0.000000,4,5,1,0.003380
2,50754.000000,49246.000000,6,51580.521682,102425047.154912,1281.780816,0.000000,4,5,1,0.004360
3,72399.000000,27601.000000,25,58395.471548,2467103.763058,911.963184,0.000000,4,5,1,0.001532
4,77467.000000,22533.000000,29,61862.329628,0.000000,867.098639,0.000000,4,5,2,0.000578
5,48260.000000,51740.000000,7,45882.439541,137626415.777810,1843.539156,0.000000,4,5,1,0.007713
6,89336.000000,10664.000000,43,59147.286618,0.000000,630.423312,0.000000,4,5,1,0.000560
7,62537.000000,37463.000000,15,51174.732406,91475466.089633,964.819323,0.000000,4,5,2,0.002028
8,55548.000000,44452.000000,10,46367.181206,97301362.492795,1211.533745,0.000000,4,5,1,0.003628
9,58443.000000,41557.000000,8,47362.787955,213770584.034193,1020.877016,0.000000,4,5,2,0.002721
10,60422.000000,39578.000000,13,51279.310083,67440845.715038,997.883056,0.000000,4,5,2,0.003090
11,67722.000000,32278.000000,16,56134.137685,2070911.717459,1094.098864,0.000000,4,5,1,0.001180
12,57994.000000,42006.000000,12,53351.131213,20701517.164168,1572.161656,0.000000,4,5,1,0.009429
13,60544.000000,39456.000000,16,49450.886626,59847162.736867,734.174262,0.000000,4,5,1,0.003075
14,58681.000000,41319.000000,11,50738.493281,147662960.977230,999.200147,0.000000,4,5,1,0.002070
15,52217.000000,47783.000000,7,45821.053734,107628436.175718,1644.208197,0.000000,4,5,1,0.003483
16,56178.000000,43822.000000,5,38899.979287,262676252.372539,742.073904,0.000000,4,5,1,0.003468
17,61310.000000,38690.000000,7,45484.865459,103721991.784070,1038.080697,0.000000,4,5,2,0.003846
18,61607.000000,38393.000000,13,55218.492667,13382273.788471,1315.510899,0.000000,4,5,1,0.001933
19,71201.000000,28799.000000,19,54006.955125,87474806.726488,721.484694,0.000000,4,5,1,0.002077
20,64723.000000,35277.000000,18,58336.702012,21492055.555191,782.777120,0.265029,4,5,2,0.001645
21,65583.000000,34417.000000,17,51729.259707,55610819.152439,889.901330,0.174430,4,5,2,0.001206
22,60412.000000,39588.000000,15,55099.260185,53963395.843949,1119.213112,0.245665,4,5,2,0.001326
23,71569.000000,28431.000000,25,53233.085116,118664439.432214,608.350641,0.254358,4,5,1,0.001734
24,81745.000000,18255.000000,31,55581.033297,33607249.099766,613.410748,0.174646,4,5,1,0.001331
25,73127.000000,26873.000000,26,60843.136119,20183970.665003,799.846138,0.223436,4,5,2,0.001085
26,67578.000000,32422.000000,20,52644.755105,45898218.089054,886.907081,0.145909,4,5,1,0.002210
27,73791.000000,26209.000000,23,52493.080881,31582967.151700,737.355963,0.162219,4,5,2,0.001996
28,63995.000000,36005.000000,13,49930.945125,63428437.116391,897.138263,0.130854,4,5,2,0.001700
29,63056.000000,36944.000000,19,60518.492482,5662456.070617,1030.975665,0.106810,4,5,2,0.002082
30,68662.000000,31338.000000,21,57489.520685,8162939.510352,808.304674,0.265993,4,5,2,0.001955
31,61198.000000,38802.000000,13,43915.865906,72369240.774927,767.140892,0.180796,4,5,2,0.002129
32,59356.000000,40644.000000,13,53196.191371,26389180.239039,987.796597,0.216268,4,5,2,0.001680
33,70772.000000,29228.000000,19,54677.404680,112476982.536615,900.379610,0.172315,4,5,2,0.000933
34,60141.000000,39859.000000,17,48694.223247,90059318.839060,997.457978,0.254372,3,5,1,0.002381
35,69125.000000,30875.000000,16,53513.300040,152802883.887933,674.719477,0.249108,3,5,2,0.001448
36,71448.000000,28552.000000,21,50386.459101,90591309.269060,762.929427,0.123411,3,5,1,0.001944
37,71346.000000,28654.000000,23,51789.789925,77478691.284372,923.422600,0.174594,3,5,2,0.000931
38,59835.000000,40165.000000,14,57813.566888,5292475.778466,1349.978558,0.145615,3,5,2,0.002070
39,76179.000000,23821.000000,25,62814.929142,7117133.033445,769.387406,0.119163,3,5,1,0.002081
40,69638.000000,30362.000000,22,51470.198187,59845467.563041,531.580022,0.358833,3,5,2,0.002214
41,73107.000000,26893.000000,24,55867.222096,28696618.163923,725.489782,0.256748,3,5,3,0.001463
42,69709.000000,30291.000000,26,56760.293810,42149223.716125,771.896620,0.155105,3,5,1,0.001888
43,66840.000000,33160.000000,18,48558.475186,149070384.268121,732.795608,0.225646,3,5,2,0.001882
44,65113.000000,34887.000000,21,50287.576494,47611626.055512,595.299707,0.330837,3,5,2,0.001470
45,69599.000000,30401.000000,20,54631.318441,30897104.635188,768.527687,0.229744,3,5,2,0.001479
46,67031.000000,32969.000000,20,48991.945534,132559466.503188,801.144308,0.305692,3,5,1,0.001746
47,62292.000000,37708.000000,18,52263.445340,44650850.117772,863.183428,0.300879,3,5,2,0.002547
48,61270.000000,38730.000000,13,52855.311132,53230793.328632,830.031047,0.205824,3,5,2,0.001432
49,72780.000000,27220.000000,27,51111.851340,19526699.294664,799.758364,0.292171,3,5,2,0.001543
50,61495.000000,38505.000000,14,47595.749748,35628645.740638,625.643693,0.231907,3,5,2,0.001960
51,64672.000000,35328.000000,19,61557.455684,14236604.868251,1014.304770,0.166115,3,5,1,0.001207
52,72080.000000,27920.000000,28,57684.020610,12919025.165233,1002.309126,0.147862,3,5,2,0.001218
53,65787.000000,34213.000000,17,58029.616615,29826134.501927,936.115241,0.163124,3,5,2,0.001158
54,98023.000000,1977.000000,49,63822.785945,2153918.268996,588.944855,0.262282,3,5,0,0.000000
55,64900.000000,35100.000000,15,55095.730160,34033442.933813,1040.940992,0.160042,3,5,2,0.004671
56,75620.000000,24380.000000,26,55882.465916,23772088.320507,665.001145,0.205281,3,5,2,0.001816
57,73282.000000,26718.000000,24,57632.515301,12268001.767151,889.948484,0.203243,3,5,2,0.001900
58,66571.000000,33429.000000,17,51685.605375,84391569.361231,754.656277,0.140087,3,5,2,0.002070
59,70276.000000,29724.000000,21,55893.069962,30055928.266070,735.712960,0.241544,3,5,1,0.004305
60,100000.000000,1.000000,50,62922.526391,2254214.039727,670.819786,0.090560,3,5,1,0.000000
61,62742.000000,37258.000000,13,53469.714906,87637174.952495,802.309157,0.225753,3,5,2,0.006231
62,71004.000000,28996.000000,25,59768.308932,25658418.076962,747.979539,0.203127,3,5,1,0.005243
63,66217.000000,33783.000000,19,48299.639891,87307672.062014,716.558724,0.247030,3,5,2,0.003924
64,56337.000000,43663.000000,11,49523.276230,57668102.223455,1177.228869,0.187108,3,5,1,0.004335
65,60414.000000,39586.000000,15,47396.393923,44319481.272275,886.379723,0.230802,3,5,2,0.003152
66,71496.000000,28504.000000,23,55600.861890,25093182.938952,833.052846,0.164829,3,5,2,0.004237
67,67943.000000,32057.000000,21,57483.328505,45881053.904093,791.936852,0.195580,3,5,2,0.004674
68,56814.000000,43186.000000,15,47167.864541,43290672.427356,876.420053,0.340091,3,5,1,0.004071
69,69655.000000,30345.000000,24,52648.648938,57829171.054331,798.163493,0.318261,3,5,2,0.005080
70,70161.000000,29839.000000,28,61082.060792,6295389.125025,1041.351697,0.264468,3,5,1,0.002137
71,91341.000000,8659.000000,41,62913.568354,1543922.426706,633.008747,0.193871,3,5,1,0.006496
72,75813.000000,24187.000000,25,54816.150083,38925131.165799,729.827302,0.236871,3,5,1,0.001719
73,59605.000000,40395.000000,13,43377.845745,193339037.536265,831.409226,0.155199,3,5,2,0.002457
74,66159.000000,33841.000000,22,58316.096751,11440215.838195,1083.050654,0.163177,3,5,1,0.002812
75,61928.000000,38072.000000,11,53342.781150,57744503.046919,952.407202,0.276219,3,5,1,0.003651
76,58602.000000,41398.000000,10,40285.404712,136269507.775398,732.534293,0.203098,3,5,1,0.004036
77,71099.000000,28901.000000,22,51005.791242,104941786.710028,717.077574,0.200179,3,5,1,0.004886
78,58842.000000,41158.000000,15,55867.211874,30868363.852505,936.673094,0.177570,3,5,1,0.004146
79,59756.000000,40244.000000,15,47467.744156,85842783.614490,713.259117,0.244809,3,5,1,0.002817
80,79487.000000,20513.000000,29,223040.763544,2189325074.371458,2435.037653,0.177135,6,6,1,0.014998
81,88317.000000,11683.000000,40,226003.864434,2251621721.363790,2223.305770,0.192257,6,6,1,0.011113
82,84739.000000,15261.000000,39,230327.323581,2099863110.172080,2358.896828,0.289805,6,6,1,0.017797
83,83946.000000,16054.000000,36,229092.713670,2052504428.680432,2323.488367,0.181547,6,6,5,0.012389
84,79659.000000,20341.000000,34,225815.451160,2378085835.780889,2174.751530,0.223838,6,6,1,0.012205
85,74643.000000,25357.000000,24,222568.707433,1946118341.723877,2983.076146,0.169921,6,6,1,0.018616
86,88962.000000,11038.000000,37,227228.003890,2329799194.215650,2325.886693,0.167723,6,6,2,0.027108
87,81229.000000,18771.000000,35,228015.849223,2168754099.869444,2560.961323,0.163639,6,6,1,0.011383
88,80264.000000,19736.000000,33,230064.951150,1987410638.388407,2772.078799,0.134241,6,6,2,0.016012
89,86289.000000,13711.000000,33,223932.438613,2856829633.173322,2229.271241,0.230063,6,6,1,0.012613
90,67324.000000,32676.000000,21,231873.378332,1730432698.958675,3429.140627,0.146498,6,6,1,0.031193
91,83003.000000,16997.000000,36,231193.255755,1980779158.005320,2611.256294,0.178525,6,6,1,0.014490
92,79481.000000,20519.000000,28,228164.580740,2201771849.038890,2792.439601,0.118759,6,6,1,0.013227
93,87710.000000,12290.000000,36,223595.634970,2568744856.802250,2293.685262,0.145838,6,6,2,0.011117
94,90916.000000,9084.000000,43,230572.605669,2071476586.560766,2288.353808,0.170926,6,6,1,0.002526
95,75185.000000,24815.000000,27,225001.562610,2083153150.522162,2795.594986,0.167948,6,6,1,0.027413
96,78882.000000,21118.000000,31,232046.015672,1965102128.636579,2905.141295,0.125194,6,6,1,0.012275
97,84144.000000,15856.000000,32,224551.431384,2097723998.764210,2654.363661,0.167313,6,6,2,0.016043
98,81703.000000,18297.000000,33,232208.345726,1965740576.353065,2683.519420,0.153321,6,6,2,0.012435
99,79945.000000,20055.000000,30,223097.954783,2305471770.928242,2652.356902,0.154294,6,6,1,0.013564
100,78567.000000,21433.000000,27,228640.266017,1932138023.153559,2508.723110,0.137450,6,6,1,0.021125
101,87489.000000,12511.000000,38,232376.705116,2051724318.051696,2524.234101,0.159996,6,6,2,0.013633
102,78227.000000,21773.000000,28,232551.402732,1609310008.955082,2640.306519,0.162034,6,6,1,0.009668
103,79304.000000,20696.000000,27,230279.711332,1895750652.515387,2612.598369,0.183517,6,6,2,0.017958
104,85909.000000,14091.000000,36,226591.106314,2280026483.634639,2076.191576,0.186599,6,6,1,0.012118
105,79538.000000,20462.000000,30,226629.908251,2690622408.267254,2752.446381,0.119095,6,6,2,0.017212
106,83055.000000,16945.000000,33,226437.426298,2383439256.928878,2386.975744,0.146836,6,6,2,0.013989
107,82488.000000,17512.000000,27,228962.872077,2429982725.332201,2515.255783,0.137584,6,6,1,0.022462
108,86111.000000,13889.000000,33,229966.756526,2031552457.275624,2318.541467,0.163335,6,6,2,0.011570
109,84940.000000,15060.000000,35,228853.240107,2307554711.849984,2394.487581,0.174811,6,5,1,0.016055
110,80226.000000,19774.000000,32,227509.632735,2088753647.374415,2461.781559,0.170091,6,5,1,0.014747
