generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,56835.000000,43165.000000,11,54751.657448,47174869.716062,1405.400487,0.000000,7,3,1,0.003246
1,58078.000000,41922.000000,12,48528.786737,135386959.864172,1071.621013,0.000000,6,2,1,0.006359
2,56206.000000,43794.000000,14,49262.507571,51757895.584517,1122.158866,0.000000,6,2,1,0.001469
3,64616.000000,35384.000000,20,56390.442577,35190485.864684,951.190539,0.139088,6,2,1,0.003134
4,68707.000000,31293.000000,20,57333.916847,10091146.684797,1092.684261,0.235115,6,2,1,0.003320
5,49727.000000,50273.000000,9,44976.611717,109847232.349275,924.534498,0.191540,6,2,1,0.005584
6,63097.000000,36903.000000,16,57769.404932,29473300.744779,957.038049,0.158434,6,2,1,0.003126
7,74027.000000,25973.000000,28,52271.958334,40613689.799244,670.076351,0.257379,6,2,1,0.003705
8,66867.000000,33133.000000,16,61719.898043,21466227.471081,1058.127802,0.090234,6,2,1,0.004034
9,65560.000000,34440.000000,14,54239.084660,108715381.096334,963.075304,0.122406,6,2,1,0.005623
10,65858.000000,34142.000000,22,57234.206738,21397533.607427,832.997259,0.276006,6,2,2,0.003996
11,58170.000000,41830.000000,15,46318.677941,134057717.322627,751.567827,0.244902,6,2,1,0.013568
12,66343.000000,33657.000000,22,60192.357373,18469134.644514,928.977987,0.264471,6,2,3,0.004165
13,62685.000000,37315.000000,18,52638.899239,50895885.290894,972.348382,0.179100,6,2,2,0.003358
14,63892.000000,36108.000000,12,42305.793921,276055469.083764,600.415660,0.392365,6,2,1,0.003045
15,62116.000000,37884.000000,11,44065.035603,184759808.663545,773.158811,0.221587,6,2,3,0.003898
16,64477.000000,35523.000000,19,54011.566035,27641943.354578,861.675042,0.231986,6,2,2,0.003602
17,72571.000000,27429.000000,29,62740.439853,3279367.913033,845.718326,0.291939,6,2,1,0.002658
18,70769.000000,29231.000000,27,64855.297905,2426918.363627,915.543494,0.189766,6,2,1,0.004353
19,63248.000000,36752.000000,17,60436.279515,7421119.493218,892.472567,0.197698,6,2,2,0.003065
20,94728.000000,5272.000000,46,63412.552343,2396176.698720,551.284746,0.202786,6,2,3,0.006418
21,62361.000000,37639.000000,18,50062.400777,101244704.977280,778.150818,0.230613,6,2,3,0.006588
22,79900.000000,20100.000000,31,61204.611723,18314855.487625,707.477958,0.169805,6,2,1,0.003245
23,63691.000000,36309.000000,16,51794.171749,16456436.346150,655.237993,0.196732,6,2,2,0.003908
