generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,66515.000000,33485.000000,18,53468.633055,49768544.744158,994.702946,0.000000,2,1,1,0.002160
1,95177.000000,4823.000000,47,60864.227006,0.000000,611.759781,0.000000,2,1,1,0.000066
2,57599.000000,42401.000000,9,45645.385986,225575344.480368,1025.881190,0.000000,2,1,1,0.004421
3,52941.000000,47059.000000,7,42405.424717,236909836.251950,804.104656,0.000000,2,1,1,0.002957
4,70878.000000,29122.000000,19,54059.477465,42434772.160475,753.400048,0.232104,2,1,1,0.005502
5,68937.000000,31063.000000,19,50838.865939,37538552.667062,695.923939,0.171849,2,1,1,0.004025
6,65075.000000,34925.000000,15,56481.731884,17979808.569305,1081.505878,0.154638,2,1,1,0.004107
7,57509.000000,42491.000000,13,46686.501484,179897349.140667,869.822889,0.194108,2,1,1,0.004060
8,59167.000000,40833.000000,13,54336.525810,50784147.935675,1014.914245,0.133924,2,1,1,0.006577
9,55489.000000,44511.000000,13,49528.316787,62803462.177568,975.082127,0.190325,2,1,1,0.005532
10,55885.000000,44115.000000,13,52770.043562,32329732.670862,1107.574595,0.162454,2,1,1,0.002969
11,57478.000000,42522.000000,14,55031.886542,29411017.950503,1171.642484,0.123477,2,1,1,0.004334
12,60597.000000,39403.000000,15,54261.621915,69415948.898124,1066.804704,0.139186,2,1,1,0.003430
13,67670.000000,32330.000000,21,56705.981373,19174625.542047,843.196212,0.134859,2,1,1,0.003690
14,67344.000000,32656.000000,16,52204.125413,82627413.685363,879.546474,0.191347,2,1,1,0.005771
15,61369.000000,38631.000000,19,60135.096416,13132530.595902,1103.926369,0.166865,2,1,1,0.007226
16,71296.000000,28704.000000,24,55705.919477,23984891.960100,732.632012,0.165642,2,1,1,0.003109
17,67991.000000,32009.000000,16,56556.088137,54784593.729426,900.754138,0.121526,2,1,2,0.003278
18,71236.000000,28764.000000,19,57308.135586,36233951.281792,878.549148,0.244698,2,1,1,0.002372
19,71031.000000,28969.000000,20,58498.307654,12147756.206287,892.639764,0.127208,2,1,2,0.006658
20,67066.000000,32934.000000,24,54188.666195,7423914.726836,819.819438,0.194467,2,1,1,0.004648
21,65841.000000,34159.000000,20,59500.439748,34073019.742366,912.421307,0.163878,2,1,2,0.005583
22,65922.000000,34078.000000,13,54217.762369,16454648.422555,934.338395,0.209117,2,1,1,0.005381
23,66753.000000,33247.000000,17,59701.100400,16101146.776450,977.037920,0.188688,2,1,2,0.006558
